app_lemma,scope,surface_sie_form,card_count,card_ids,levels,standalone_card_count,phrase_card_count,repository_pair_lemmas,direct_match_basis,direct_source_entry_numbers,linked_repository_forms,linked_source_entry_numbers,opposite_reflexivity_collision_entry_numbers,review_flags,method_note,rights_note
pomagać,core-A1-B1,false,1,a1-first-verbs-022,A1,1,0,pomagać;pomóc,source-entry-string-after-conservative-normalization,440,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pożyczyć,core-A1-B1,false,1,b1-money-finance-009,B1,1,0,pożyczać;pożyczyć,none,,pożyczać,482,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pracować,core-A1-B1,false,1,a1-first-verbs-017,A1,1,0,pracować,source-entry-string-after-conservative-normalization,483,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
prać,core-A1-B1,false,1,a2-daily-life-006,A2,1,0,prać;wyprać,source-entry-string-after-conservative-normalization,484,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
prowadzić,podcast-only,false,1,podcasts-toxic-productivity-009,Podcasts,0,1,doprowadzić;prowadzić,source-entry-string-after-conservative-normalization,492,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
przekonać,core-A1-B1,false,1,b1-expressing-opinions-012,B1,1,0,przekonać;przekonywać,none,,przekonywać,507,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
przepraszać,core-A1-B1,false,1,b1-relationships-016,B1,1,0,przepraszać;przeprosić,source-entry-string-after-conservative-normalization,519,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
przymierzyć,core-A1-B1,false,1,a2-appearance-clothes-006,A2,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
przypierdolić się,core-A1-B1,true,1,b1-swearing-022,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
płacić,core-A1-B1,false,3,a2-quantities-money-022;a2-quantities-money-026;b1-money-finance-013,A2;B1,0,3,płacić;zapłacić,source-entry-string-after-conservative-normalization,406,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
pływać,core-A1-B1,false,1,a1-free-time-012,A1,1,0,pływać,source-entry-string-after-conservative-normalization,410,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
redukować,core-A1-B1,false,1,a2-ecology-027,A2,1,0,redukować;zredukować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
relaksować się,core-A1-B1,true,1,b1-healthy-lifestyle-017,B1,1,0,relaksować się;zrelaksować się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
rezerwować,core-A1-B1,false,1,a2-travel-holidays-007,A2,1,0,rezerwować;zarezerwować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
robić,core-A1-B1,false,4,a1-morning-routine-011;a1-first-verbs-008;a1-free-time-018;b1-idioms-003,A1;B1,1,3,robić;zrobić,source-entry-string-after-conservative-normalization,586,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
rozstać się,core-A1-B1,true,1,b1-relationships-011,B1,1,0,rozstawać się;rozstać się,none,,rozstawać się,613,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
rozumieć,core-A1-B1,false,1,a1-first-verbs-010,A1,1,0,rozumieć;zrozumieć,source-entry-string-after-conservative-normalization,616,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
rzucać,core-A1-B1,false,2,b1-idioms-007;b1-idioms-011,B1,0,2,,source-entry-string-after-conservative-normalization,630,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
schudnąć,core-A1-B1,false,1,b1-healthy-lifestyle-006,B1,1,0,chudnąć;schudnąć,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
segregować,core-A1-B1,false,1,a2-ecology-005,A2,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
siedzieć,core-A1-B1,false,1,b1-idioms-017,B1,0,1,,source-entry-string-after-conservative-normalization,635,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
skręcić,core-A1-B1,false,3,a1-directions-018;a2-directions-orientation-005;a2-directions-orientation-023,A1;A2,1,2,skręcać;skręcić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
skupiać się,podcast-only,true,1,podcasts-toxic-productivity-015,Podcasts,0,1,skupiać się;skupić się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
smażyć,core-A1-B1,false,1,a2-food-shopping-006,A2,1,0,smażyć;usmażyć,source-entry-string-after-conservative-normalization,646,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
spadać,core-A1-B1,false,1,b1-urban-party-slang-010,B1,1,0,,source-entry-string-after-conservative-normalization,650,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
spełniać się,podcast-only,true,1,podcasts-work-life-004,Podcasts,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
spierdalać,core-A1-B1,false,1,b1-swearing-019,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
spieszyć się,core-A1-B1,true,1,a1-morning-routine-016,A1,1,0,pospieszyć się;spieszyć się,explicitly-listed-alternative-after-conservative-normalization,653,,,,explicitly-listed-alternative-form,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
spotykać się,core-A1-B1,true,2,a1-free-time-016;a2-leisure-culture-011,A1;A2,1,1,spotkać się;spotykać się,source-entry-string-after-conservative-normalization,658,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
sprowadzić,podcast-only,false,1,podcasts-toxic-productivity-005,Podcasts,0,1,sprowadzać;sprowadzić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
sprzątać,core-A1-B1,false,1,a2-daily-life-005,A2,1,0,posprzątać;sprzątać,source-entry-string-after-conservative-normalization,663,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
stanowić,podcast-only,false,1,podcasts-work-life-010,Podcasts,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
stać się,podcast-only,true,1,podcasts-meaning-of-life-013,Podcasts,0,1,,none,,,,667,opposite-reflexivity-base-collision-not-a-match;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
szukać,core-A1-B1,false,3,a1-first-verbs-020;a2-work-education-010;b1-idioms-026,A1;A2;B1,1,2,poszukać;szukać;znaleźć,source-entry-string-after-conservative-normalization,684,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
słuchać,core-A1-B1,false,1,a1-free-time-005,A1,0,1,posłuchać;słuchać,source-entry-string-after-conservative-normalization,643,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
tańczyć,core-A1-B1,false,1,a1-free-time-009,A1,1,0,tańczyć;zatańczyć,source-entry-string-after-conservative-normalization,694,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
traktować,podcast-only,false,1,podcasts-toxic-productivity-008,Podcasts,0,1,potraktować;traktować,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
trzymać,core-A1-B1,false,1,b1-idioms-015,B1,0,1,,source-entry-string-after-conservative-normalization,705,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
tyrać,core-A1-B1,false,1,b1-corporate-slang-008,B1,1,0,tyrać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
tęsknić,core-A1-B1,false,1,b1-relationships-012,B1,1,0,tęsknić;zatęsknić,source-entry-string-after-conservative-normalization,696,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ubierać się,core-A1-B1,true,1,a1-morning-routine-008,A1,1,0,ubierać się;ubrać się,source-entry-string-after-conservative-normalization,710,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
uciec,podcast-only,false,1,podcasts-work-life-012,Podcasts,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
uczyć się,core-A1-B1,true,1,a2-work-education-007,A2,1,0,nauczyć się;uczyć się,source-entry-string-after-conservative-normalization,718,nauczyć się,261,,repository-pair-semantics-unreviewed,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
udostępnić,core-A1-B1,false,1,b1-media-technology-008,B1,1,0,udostępniać;udostępnić,none,,udostępniać,723,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ukraść,core-A1-B1,false,1,b1-travel-problems-006,B1,1,0,kraść;ukraść,none,,kraść,175,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
ulegać,podcast-only,false,1,podcasts-toxic-productivity-001,Podcasts,0,1,ulec;ulegać,source-entry-string-after-conservative-normalization,734,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
umówić się,core-A1-B1,true,2,a2-official-matters-014;b1-relationships-003,A2;B1,0,2,umawiać się;umówić się,none,,umawiać się,736,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
uprawiać,core-A1-B1,false,1,a2-leisure-culture-007,A2,0,1,uprawiać,source-entry-string-after-conservative-normalization,746,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
urwać się,core-A1-B1,true,1,b1-idioms-013,B1,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
utknąć,core-A1-B1,false,2,b1-travel-problems-017;podcasts-work-life-011,B1;Podcasts,1,1,utknąć;utykać,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
utożsamiać się,podcast-only,true,1,podcasts-work-life-013,Podcasts,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
używać,core-A1-B1,false,1,a2-ecology-024,A2,1,0,używać;użyć,source-entry-string-after-conservative-normalization,767,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wbić,core-A1-B1,false,1,b1-urban-party-slang-002,B1,1,0,wbijać;wbić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wiedzieć,core-A1-B1,false,1,a1-first-verbs-011,A1,1,0,wiedzieć,source-entry-string-after-conservative-normalization,780,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wiercić,core-A1-B1,false,1,b1-idioms-008,B1,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wieszać,core-A1-B1,false,1,b1-idioms-019,B1,0,1,,source-entry-string-after-conservative-normalization,782,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wkurwić się,core-A1-B1,true,1,b1-swearing-024,B1,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wkurzać się,core-A1-B1,true,1,b1-swearing-010,B1,1,0,wkurzać się;wkurzyć się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wpaść,core-A1-B1,false,2,b1-idioms-014;podcasts-toxic-productivity-002,B1;Podcasts,0,2,wpadać;wpaść,none,,wpadać,797,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wracać,core-A1-B1,false,1,a2-daily-life-004,A2,0,1,wracać;wrócić,source-entry-string-after-conservative-normalization,804,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wstawać,core-A1-B1,false,1,a1-morning-routine-003,A1,1,0,wstawać;wstać,source-entry-string-after-conservative-normalization,812,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wybaczyć,core-A1-B1,false,1,b1-relationships-017,B1,1,0,wybaczać;wybaczyć,none,,wybaczać,815,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wychodzić,core-A1-B1,false,1,a1-morning-routine-017,A1,0,1,wychodzić;wyjść,source-entry-string-after-conservative-normalization,820,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wycinać,core-A1-B1,false,1,a2-ecology-028,A2,1,0,wycinać;wyciąć,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wydawać,core-A1-B1,false,1,b1-money-finance-007,B1,1,0,wydawać;wydać,source-entry-string-after-conservative-normalization,823,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wyglądać,core-A1-B1,false,1,a2-appearance-clothes-001,A2,0,1,,source-entry-string-after-conservative-normalization,826,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wylogować się,core-A1-B1,true,1,b1-media-technology-007,B1,1,0,wylogować się;wylogowywać się,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wymieniać się,core-A1-B1,true,1,a2-ecology-022,A2,1,0,wymieniać się;wymienić się,none,,,,841,opposite-reflexivity-base-collision-not-a-match;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wypełnić,core-A1-B1,false,1,a2-official-matters-010,A2,1,0,wypełniać;wypełnić,none,,wypełniać,850,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wypłacić,core-A1-B1,false,1,b1-money-finance-011,B1,0,1,wypłacać;wypłacić,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wyrzucać,core-A1-B1,false,1,a2-ecology-004,A2,1,0,wyrzucać;wyrzucić,source-entry-string-after-conservative-normalization,860,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wytyczać,podcast-only,false,1,podcasts-meaning-of-life-010,Podcasts,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wywoływać,core-A1-B1,false,1,b1-idioms-020,B1,0,1,,source-entry-string-after-conservative-normalization,870,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wyłączać,core-A1-B1,false,1,a2-ecology-014,A2,1,0,wyłączać;wyłączyć,source-entry-string-after-conservative-normalization,837,,,,,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
wziąć się,core-A1-B1,true,1,b1-idioms-027,B1,0,1,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zabłądzić,core-A1-B1,false,1,a2-directions-orientation-020,A2,1,0,,none,,,,,no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
zakochać się,core-A1-B1,true,1,b1-relationships-004,B1,1,0,zakochać się;zakochiwać się,none,,zakochiwać się,899,,repository-pair-semantics-unreviewed;no-direct-listed-form-match,NFC + casefold + whitespace normalization; one OCR glyph repair; five explicitly printed alternative-headword groups expanded only as listed alternatives; reflexive and linked forms never collapsed.,"App-lemma grain only. Book-only headwords and the complete 1,001-entry index are intentionally not reproduced."
