"verification_order","lemma","phase3_disposition","phase3_representation_fit","evidence_strength","independent_slot_signal","aspect_partner","double_selected_pair","normalized_pair_recommendation","narrowing_summary","authoring_constraint","product_redundancy_summary","human_freeze_recommendation","human_freeze_rationale","reserve_gate_needed","notes"
"43","obejrzeć","KEEP VERIFIED","compatible","A","moderate","oglądać","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","The result meaning is pedagogically real, but marginal value over explicit aspect-partner metadata remains a Phase 3B decision.","RETAIN BOTH - BORDERLINE — Both independently support Accusative viewing, while oglądać adds an exact optional w + Locative presentation-context position. The extra position and central aspect contrast partly offset substantial overlap.","RETAIN - BORDERLINE OPPORTUNITY COST","Both independently support Accusative viewing, while oglądać adds an exact optional w + Locative presentation-context position. The extra position and central aspect contrast partly offset substantial overlap. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 5."
"44","skończyć","KEEP VERIFIED","compatible","A","strong","kończyć","yes","RETAIN BOTH - BORDERLINE","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must keep completion and cessation meanings separate; final family allocation remains subject to synthesis.","RETAIN BOTH - BORDERLINE — The completion schemas overlap, while skończyć independently adds a separate colloquial cessation sense with z + Instrumental; that extra construction offsets but does not erase the second-slot cost.","RETAIN - BORDERLINE OPPORTUNITY COST","The completion schemas overlap, while skończyć independently adds a separate colloquial cessation sense with z + Instrumental; that extra construction offsets but does not erase the second-slot cost. Retaining both is viable, but the second slot remains a genuine human-freeze trade-off.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Pair assessment is product-level only; both exact lemmas retain independent evidence and no construction is inherited. Authoritative evidence remains in Batch 5."
"45","chcieć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must encode the sense and participant-control differences rather than offer one unrestricted chcieć template.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"46","robić","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must separate making from activity performance and avoid treating the broad lemma as a license for arbitrary noun frames.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"47","rozumieć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring should label content comprehension and empathic person understanding separately despite identical Accusative morphology.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"48","mieszkać","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","Residence selects generalized GDZIE, with w + Locative as a documented realization, plus exact optional co-resident z + Instrumental.","Label w + Locative as a residence-place realization rather than exclusive government; restrict z + Instrumental to the selected co-resident role.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"49","umówić się","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","Appointment and agreement schemas survive independently; appointment do + Genitive is only a documented realization of generalized GDZIE.","Preserve lexical się, keep appointment and agreement senses separate, label do as a realization, and do not merge alternatives into a maximal frame.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"50","dzwonić","KEEP WITH NARROWING","compatible with narrowing","A","strong","","no","not applicable","Generalized call-target DOKĄD survives through documented do/na realizations together with że/żeby content; collocational w sprawie is not governed.","Label do/na targets as realizations, retain direct content clauses, and do not encode w sprawie + Genitive as a governed construction.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - AUTHORING NARROWING","The surviving verified content remains product-worthy, but Phase 4 must carry the explicit sense, realization, or rejected-hypothesis boundary forward.","no","Authoritative evidence remains in Batch 5; no reserve evidence or final freeze is implied."
"51","powiedzieć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must label the communicative relation and preserve the schema alternatives; directly listed JAK cannot be represented in the locked model.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"52","gotować","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring should keep optionality explicit and avoid extending the schema to every food-process sense.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"53","rezerwować","KEEP VERIFIED","compatible","A","strong","zarezerwować","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must distinguish Dative from dla + Genitive alternatives and keep booking separate from resource/time allocation.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"54","cieszyć się","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must distinguish the semantic contribution of z, na, Instrumental, and the proposition rather than presenting interchangeable labels.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"55","martwić się","KEEP VERIFIED","compatible","A","moderate","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Final synthesis should weigh the overlap with the released bać się concern record against the added Instrumental and clause inventory.","BORDERLINE OPPORTUNITY COST — The worry meaning, Instrumental cause, and clause inventory are distinct, but o + Accusative materially overlaps the released bać się concern pattern.","RETAIN - BORDERLINE OPPORTUNITY COST","The worry meaning, Instrumental cause, and clause inventory are distinct, but o + Accusative materially overlaps the released bać się concern pattern. Retention remains viable and no linguistic disposition changes.","conditional — required only if a human removal is followed by promotion of an unverified reserve","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"56","zgadzać się","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must label consent versus opinion agreement and keep matching/correspondence outside these records.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"57","zapraszać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must keep event/activity and destination/institution readings distinct and avoid concretizing the GDZIE alternative.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"58","polecać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must not gloss the sense-1 infinitive as ordinary recommendation; it is directive/instructional in the exact source.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"59","radzić","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must encode the Dative required/optional distinction across schemas and keep advice separate from coping.","NO MATERIAL REDUNDANCY — advice radzić and lexical coping radzić sobie have independently verified identities, meanings, and construction inventories.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"60","pasować","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later product authoring must choose sense-specific role wording; the locked model can encode the forms but generic 'fits' wording would obscure the relations.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 6; no reserve evidence or final freeze is implied."
"61","móc","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must label modal meaning where useful and keep the permission question as sentence-level packaging over the infinitive frame.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"62","musieć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring should distinguish personal and impersonal sentence realization only when pedagogically useful, without multiplying verb patterns.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"63","wiedzieć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve nominal/topic versus propositional/interrogative content and explain czy only as one interrogative-dependent clause realization.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"64","jeść","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Phase 4 authoring must teach positive Accusative as the lexical frame and handle negation separately; examples should not make negation obscure the selected object case.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"65","pić","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring should keep ordinary liquid consumption distinct from alcohol-use and partitive/quantity interpretations.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"66","kochać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must label person-love, attachment to ideas/places, and strong liking separately; the surface Accusative does not erase the meaning split.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"67","przepraszać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must preserve required coexistence in KOGO + za CO and not attach the optionality from the clause schema to the nominal one.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"68","życzyć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must distinguish nominal wished content from a wished event and keep życzyć separate from życzyć sobie.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"69","korzystać","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring should label resource use versus benefit while preserving the same exact z + Genitive form.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
"70","uczyć","KEEP VERIFIED","compatible","A","strong","","no","not applicable","none — authoritative Phase 3 disposition is KEEP VERIFIED","Later authoring must choose a single exact sense/schema per pattern, preserve content alternatives, and keep non-reflexive uczyć completely separate from uczyć się.","NO MATERIAL REDUNDANCY — no cross-selected or released-lemma overlap creates a freeze-stage concern.","RETAIN - CLEAR","The exact lemma has independent grade-A evidence, useful surviving construction content, and no material slot concern identified in the cross-batch review.","no","Authoritative evidence remains in Batch 7; no reserve evidence or final freeze is implied."
