lemma_id,lemma,reflexive,aspect,aspect_partner_ids,meaning_id,meaning_glosses_en,pattern_id,relation_type,complements_json,complement_types,cases,prepositions,cefr_recognition,cefr_production,teaching_status,example_id,example_pl,example_en,example_origin,origin_repository_ref,content_refs_json,error_notes_json,review_state,release_mode,review_event_chain,activity_eligibility,audio_eligible
vp-l-sluchac-301b09233922,słuchać,false,imperfective,,vp-m-sluchac-listen-to-d981b432efa8,listen to,vp-p-sluchac-listen-to-genitive-target-a274f84c8d93,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""target""}]",case,genitive,,A1,A1,active-production,vp-e-sluchac-listen-to-genitive-target-music-on-the-way-ecf258289d6e,Słucham muzyki w drodze do pracy.,I listen to music on the way to work.,repository-reuse,card:a1-free-time-005:ex,"[{""kind"":""card"",""id"":""a1-free-time-005"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""słucham muzykę"",""guidanceEn"":""Słuchać takes the Genitive: słucham muzyki (I listen to music).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-sluchac-301b09233922,słuchać,false,imperfective,,vp-m-sluchac-obey-eb23d8503e9a,obey | do as one is told,vp-p-sluchac-obey-genitive-object-674adae2dec3,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""object""}]",case,genitive,,B1,,recognition-only,vp-e-sluchac-obey-genitive-object-dog-obeys-its-owner-f1216029cb1b,Ten pies słucha swojego pana.,This dog obeys its owner.,editorial-generated,,"[{""kind"":""card"",""id"":""b1-character-emotions-003"",""purpose"":""contrast""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-szukac-0daf5e6b5693,szukać,false,imperfective,,vp-m-szukac-seek-35b07b1cceb1,look for | search for,vp-p-szukac-seek-genitive-target-71dc6eff512c,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""target""}]",case,genitive,,A1,A1,active-production,vp-e-szukac-seek-genitive-target-looking-for-cafe-efdccf7a5ba6,Szukam dobrej kawiarni.,I am looking for a good café.,repository-reuse,card:a1-first-verbs-020:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-020"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-genitive-014"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""szukam kawiarnię"",""guidanceEn"":""Szukać takes the Genitive, not the Accusative: szukam kawiarni (I'm looking for a café).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-tesknic-3c9b07c066c3,tęsknić,false,imperfective,,vp-m-tesknic-miss-d796ac98d4f5,miss | long for,vp-p-tesknic-miss-za-instrumental-target-f866502502c7,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""za"",""case"":""instrumental"",""required"":true,""role"":""target""}]",preposition-case,instrumental,za,B1,B1,active-production,vp-e-tesknic-miss-za-instrumental-target-missing-you-b98f2f56ea9f,"Tęsknię za tobą, kiedy wyjeżdżasz.",I miss you when you go away.,repository-reuse,card:b1-relationships-012:ex,"[{""kind"":""card"",""id"":""b1-relationships-012"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""tęsknię ciebie"",""guidanceEn"":""Tęsknić needs za with the Instrumental: tęsknię za tobą (I miss you).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,true,imperfective,,vp-m-uczyc-sie-study-bd96ff26cc60,learn | study,vp-p-uczyc-sie-study-genitive-subject-matter-44c5fdb95dd7,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""content""}]",case,genitive,,A1,A2,active-production,vp-e-uczyc-sie-study-genitive-subject-matter-polish-for-a-year-180cd560a0ec,Uczę się polskiego od roku.,I have been learning Polish for a year.,repository-reuse,card:a1-about-me-004:ex,"[{""kind"":""card"",""id"":""a2-work-education-007"",""purpose"":""support""},{""kind"":""drill"",""id"":""verbs-reflexive-005"",""purpose"":""practice""},{""kind"":""topic"",""id"":""verbs-reflexive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""uczę się polski"",""guidanceEn"":""Use the Genitive: uczę się polskiego (I'm learning Polish).""},{""kind"":""predicted-distractor"",""incorrectForm"":""uczę polskiego"",""guidanceEn"":""Keep się: uczyć się is learning, uczyć is teaching someone else.""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-uczyc-sie-a01d00cb7f2f,uczyć się,true,imperfective,,vp-m-uczyc-sie-study-bd96ff26cc60,learn | study,vp-p-uczyc-sie-study-infinitive-skill-ab708776387e,lexical-frame,"[{""type"":""infinitive"",""required"":true,""role"":""content""}]",infinitive,,,A2,B1,active-production,vp-e-uczyc-sie-study-infinitive-skill-learning-guitar-fc75e418733b,Uczę się grać na gitarze.,I am learning to play the guitar.,repository-reuse,card:a1-free-time-007:ex,"[{""kind"":""card"",""id"":""a1-free-time-007"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-ufac-6a061471e40a,ufać,false,imperfective,,vp-m-ufac-trust-92b1bdb490f0,trust,vp-p-ufac-trust-dative-object-10988adac8cd,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""object""}]",case,dative,,B1,B1,active-production,vp-e-ufac-trust-dative-object-trusting-my-teacher-618816d6a6ea,Ufam swojej nauczycielce.,I trust my teacher.,editorial-generated,,"[{""kind"":""card"",""id"":""b1-relationships-018"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""ufam mojego brata"",""guidanceEn"":""Ufać takes the Dative, not the Accusative: ufam mojemu bratu (I trust my brother).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-uzywac-a617dcf0b2fc,używać,false,imperfective,,vp-m-uzywac-use-bf360f430fed,use,vp-p-uzywac-use-genitive-object-2c5cb44fe85d,lexical-frame,"[{""type"":""case"",""case"":""genitive"",""required"":true,""role"":""object""}]",case,genitive,,A2,A2,active-production,vp-e-uzywac-use-genitive-object-using-an-app-4ea0e75b504a,Używam tej aplikacji do nauki języków.,I use this app for learning languages.,repository-reuse,card:b1-media-technology-001:ex,"[{""kind"":""card"",""id"":""a2-ecology-024"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""używam tę aplikację"",""guidanceEn"":""Używać takes the Genitive: używam tej aplikacji (I use this app).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-widziec-59dbe12f8b3d,widzieć,false,imperfective,,vp-m-widziec-perceive-visually-65710cb07f86,see,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""object""}]",case,accusative,,A1,A1,active-production,vp-e-widziec-perceive-visually-accusative-object-saw-your-sister-ec51af47f224,Czy widzisz tę czerwoną torbę?,Do you see that red bag?,editorial-generated,,"[{""kind"":""card"",""id"":""a2-describing-past-005"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-accusative-002"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-wierzyc-171eb7790262,wierzyć,false,imperfective,,vp-m-wierzyc-have-trust-0a6cbf4eee17,believe (someone) | believe in (someone or something),vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""object""}]",case,dative,,A2,B1,active-production,vp-e-wierzyc-have-trust-dative-object-believing-a-friend-b65c5d71b199,"Wierzę koleżance, bo nigdy nie kłamie.",I believe my friend because she never lies.,editorial-generated,,"[{""kind"":""drill"",""id"":""grammar-cases-dative-008"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-dative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""nie wierzę go"",""guidanceEn"":""Wierzyć takes the Dative: nie wierzę mu (I don't believe him).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-wierzyc-171eb7790262,wierzyć,false,imperfective,,vp-m-wierzyc-have-trust-0a6cbf4eee17,believe (someone) | believe in (someone or something),vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""w"",""case"":""accusative"",""required"":true,""role"":""target""}]",preposition-case,accusative,w,B1,B1,active-production,vp-e-wierzyc-have-trust-w-accusative-target-believing-in-the-team-9695f1faa84b,Trener wierzy w tę drużynę.,The coach believes in this team.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-zajmowac-sie-176f8a1300f8,zajmować się,true,imperfective,,vp-m-zajmowac-sie-look-after-person-b23fbb8fc99b,look after | take care of,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,lexical-frame,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""object""}]",case,instrumental,,B1,,recognition-only,vp-e-zajmowac-sie-look-after-person-instrumental-object-looking-after-my-sisters-daughter-1976cdf5b971,"Kiedy siostra jest w pracy, zajmuję się jej córką.","When my sister is at work, I look after her daughter.",editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept,,false
vp-l-zajmowac-sie-176f8a1300f8,zajmować się,true,imperfective,,vp-m-zajmowac-sie-occupation-activity-7e3a8332a3bc,do (as an activity or job) | deal with,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,lexical-frame,"[{""type"":""case"",""case"":""instrumental"",""required"":true,""role"":""topic""}]",case,instrumental,,A2,B1,active-production,vp-e-zajmowac-sie-occupation-activity-instrumental-topic-dad-repairs-computers-1ad6678e41cb,Mój tata zajmuje się naprawą komputerów.,My dad works in computer repair.,editorial-generated,,"[{""kind"":""topic"",""id"":""grammar-cases-instrumental"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""zajmuję się o marketing"",""guidanceEn"":""No preposition: use the bare Instrumental, zajmuję się marketingiem (I work in marketing).""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-zalezec-679daa27f9be,zależeć,false,imperfective,,vp-m-zalezec-depend-on-d640b1729639,depend on,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,lexical-frame,"[{""type"":""preposition-case"",""preposition"":""od"",""case"":""genitive"",""required"":true,""role"":""topic""}]",preposition-case,genitive,od,B1,B1,active-production,vp-e-zalezec-depend-on-od-genitive-source-plans-depend-on-the-weather-e539ac27be66,Nasze plany zależą od pogody.,Our plans depend on the weather.,editorial-generated,,"[{""kind"":""card"",""id"":""b1-expressing-opinions-013"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-genitive"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-zalezec-679daa27f9be,zależeć,false,imperfective,,vp-m-zalezec-matter-to-someone-e7bf97e3c145,care about | it matters to someone,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,lexical-frame,"[{""type"":""case"",""case"":""dative"",""required"":true,""role"":""experiencer""},{""type"":""preposition-case"",""preposition"":""na"",""case"":""locative"",""required"":true,""role"":""topic""}]",case|preposition-case,dative|locative,|na,B1,,recognition-only,vp-e-zalezec-matter-to-someone-dative-experiencer-na-locative-this-job-matters-to-me-49c780e0667f,Bardzo mi zależy na tej pracy.,This job really matters to me.,editorial-generated,,"[{""kind"":""drill"",""id"":""building-sentences-so-that-007"",""purpose"":""practice""},{""kind"":""topic"",""id"":""grammar-cases-locative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-znac-a4c921e7688c,znać,false,imperfective,,vp-m-znac-be-acquainted-with-54b71d59f073,"know (a person, place or fact)",vp-p-znac-be-acquainted-with-accusative-object-379e19b36299,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""object""}]",case,accusative,,A1,A1,active-production,vp-e-znac-be-acquainted-with-accusative-object-know-this-restaurant-966b2c8de5a3,Czy znasz tę restaurację?,Do you know this restaurant?,repository-reuse,card:a1-first-verbs-012:ex,"[{""kind"":""card"",""id"":""a1-first-verbs-012"",""purpose"":""support""},{""kind"":""drill"",""id"":""grammar-cases-accusative-005"",""purpose"":""practice""},{""kind"":""topic"",""id"":""building-sentences-negation"",""purpose"":""contrast""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]",[],approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
vp-l-znalezc-eec53e19f1a0,znaleźć,false,perfective,,vp-m-znalezc-find-8a0f0f34b6e8,find,vp-p-znalezc-find-accusative-object-d80c52211462,lexical-frame,"[{""type"":""case"",""case"":""accusative"",""required"":true,""role"":""object""}]",case,accusative,,A2,B1,active-production,vp-e-znalezc-find-accusative-object-finally-found-a-flat-3609f7a71e3f,W końcu znalazłam nową pracę.,I finally found a new job.,editorial-generated,,"[{""kind"":""card"",""id"":""a1-first-verbs-020"",""purpose"":""contrast""},{""kind"":""card"",""id"":""b1-media-technology-014"",""purpose"":""support""},{""kind"":""topic"",""id"":""grammar-cases-accusative"",""purpose"":""support""}]","[{""kind"":""predicted-distractor"",""incorrectForm"":""znaleźć mieszkania"",""guidanceEn"":""Znaleźć takes the Accusative: znaleźć mieszkanie (to find a flat). Only szukać uses the Genitive.""}]",approved,solo-maintainer-reference-backed,reference-verification:accept > editorial-review:accept > product-approval:accept > correction:accept > editorial-review:changes-requested > editorial-review:accept > product-approval:accept,,false
