provisional_rank,lemma,phase0_rank,phase0_score,provisional_status,cefr_hypothesis,aspect,aspect_partner,aspect_partner_status,reflexive,repository_evidence_summary,coverage_opportunity,representation_fit,motion_flag,meaning_sensitive_flag,phase3_risk,phase3_verification_question,replacement_priority,selection_rationale
58,zapraszać,58,36,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-leisure-culture-014; a2-holidays-traditions-019,Accusative person; na + Accusative event; do + Genitive place [accusative; preposition+accusative/genitive],compatible,no,yes,medium,"Does contemporary evidence support Accusative person; na + Accusative event; do + Genitive place as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
59,polecać,59,36,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,b1-culture-entertainment-018; scenarios-pharmacy,Dative recipient + Accusative item; + infinitive [dative+accusative/infinitive],compatible,no,yes,medium,"Does contemporary evidence support Dative recipient + Accusative item; + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
60,pozwalać,60,28,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,no,repository contextual occurrences require extraction,Dative person + infinitive; na + Accusative [dative+infinitive; preposition+accusative],probably compatible - verify,no,yes,high,Does contemporary evidence support Dative person + infinitive and/or na + Accusative in a practical B1 scope despite low direct repository evidence?,high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
61,radzić,61,30,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,no,b1-healthy-lifestyle-014; scenarios-neighbours,Dative person + infinitive; Dative + clause [dative+infinitive/clause],probably compatible - verify,no,yes,medium,"Does contemporary evidence support Dative person + infinitive; Dative + clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",medium,"Everyday usefulness 4/5; repository-frequency signal 2/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
62,życzyć,62,35,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,people-numbers-every-all-010; scenarios-doctor,Dative recipient + Genitive wished thing [dative+genitive],probably compatible - verify,no,no,low,"Does contemporary evidence support Dative recipient + Genitive wished thing as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 4/5; repository-frequency signal 2/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
63,unikać,63,30,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,no,repository learner-error gap; no strong direct ref,Genitive object; + infinitive [genitive/infinitive],probably compatible - verify,no,no,high,Does contemporary evidence support direct Genitive and/or infinitive government with enough practical B1 value to justify the slot?,high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
64,wymagać,64,31,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,no,b1-character-emotions-007; b1-healthy-lifestyle-018,Genitive object; od + Genitive person [genitive; preposition+genitive],probably compatible - verify,no,yes,high,"Does contemporary evidence support Genitive object; od + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
65,należeć,65,27,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,repository contextual occurrences require extraction,do + Genitive membership/ownership [preposition+genitive],probably compatible - verify,no,yes,high,Does contemporary evidence support a practical do + Genitive membership/ownership frame with enough repository and learner value?,high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
66,korzystać,66,39,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,scenarios-gym explicit teach and npc,z + Genitive resource [preposition+genitive],compatible,no,no,low,"Does contemporary evidence support z + Genitive resource as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
67,uczyć,67,36,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-work-education-007; b1-healthy-lifestyle-014,Accusative person + Genitive subject; + infinitive [accusative+genitive/infinitive],probably compatible - verify,no,no,low,"Does contemporary evidence support Accusative person + Genitive subject; + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",low,"Everyday usefulness 4/5; repository-frequency signal 5/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
68,pasować,68,38,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a1-colours-clothes-021; a2-appearance-clothes-007,Dative experiencer; do + Genitive match [dative; preposition+genitive],probably compatible - verify,no,yes,medium,"Do fit/suit and match meanings support the proposed Dative experiencer and do + Genitive relations, including the correct relation type?",medium,"Everyday usefulness 4/5; repository-frequency signal 3/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
69,kłócić się,69,29,provisional - Phase 3 verification required,B1,imperfective,,no in-pool partner identified,yes,b1-relationships-014,z + Instrumental person; o + Accusative topic [preposition+instrumental/accusative],compatible,no,no,high,Does contemporary evidence support z + Instrumental person and o + Accusative topic with the proposed optionality and meaning boundaries?,medium,"Everyday usefulness 3/5; repository-frequency signal 2/5; construction-learning value 5/5; retained for practical utility and a non-duplicative coverage opportunity; score is decision support, not approval."
70,pokazywać,70,34,provisional - Phase 3 verification required,A2,imperfective,,no in-pool partner identified,no,a2-official-matters-005; grammar-cases-dative-014,Dative recipient + Accusative thing [dative+accusative],probably compatible - verify,no,no,high,"Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for imperfective pokazywać itself, independent of the stronger repository example for pokazać?",high,Everyday usefulness 4/5; repository-frequency signal 1/5; construction-learning value 5/5; retained for documented contextual relevance and balance despite weak direct hits; verify early.
