reviewId,lemmaId,lemma,meaningId,patternId,relationType,teachingStatus,cefrRecognition,cefrProduction,exampleId,exampleOrigin,d1Verdict,severity,editorialAcceptanceRecommended,meaningFit,patternCorrectness,complementCorrectness,learnerExplanationAssessment,errorNotesAssessment,exampleAssessment,englishAssessment,cefrAssessment,statusAssessment,siblingPatternAssessment,provenanceAssessment,findingId,findingSummary,requiredCanonicalChange,nonblockingNote
P7-NR-027,vp-l-lubic-a9766b487203,lubić,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lexical-frame,active-production,A1,A1,vp-e-lubic-enjoy-thing-or-activity-accusative-object-polish-food-857835bb5b81,repository-reuse:card:a1-first-verbs-018.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - broad enjoy sense matches source; people sense deliberately excluded,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",P7-D1-011,Excluding the separately numbered people sense (lubic kogos) means the lubic / podobac sie personal contrast the corpus cross-references cannot actually be shown.,,"Excluding the separately numbered people sense (lubic kogos) means the lubic / podobac sie personal contrast the corpus cross-references cannot actually be shown. Nonblocking because: The source lists CO and BEZOKOLICZNIK under one sense, so the broad enjoy meaning is not imposed on the data; this is post-pilot coverage, not a pilot correctness problem."
P7-NR-028,vp-l-lubic-a9766b487203,lubić,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lexical-frame,active-production,A1,A1,vp-e-lubic-enjoy-thing-or-activity-infinitive-activity-reading-before-sleep-d573db6f04d1,repository-reuse:card:a1-free-time-003.ex,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE BUT LESS IDIOMATIC THAN SOURCE - 'before sleep' vs card's 'before bed',PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",CLEAN - Polish resolves exactly to card a1-free-time-003 field ex; English gloss diverges,P7-D1-012,"The English 'I like reading before sleep' diverges from the shipping card's own gloss of the identical sentence, 'I like reading before bed', which is the more idiomatic English for 'przed snem'.",,"The English 'I like reading before sleep' diverges from the shipping card's own gloss of the identical sentence, 'I like reading before bed', which is the more idiomatic English for 'przed snem'. Nonblocking because: The Polish resolves byte-exactly to card a1-free-time-003 field ex, so provenance is intact; only the editorial English gloss is less idiomatic than the app's."
P7-NR-029,vp-l-mowic-5f4740bd3f57,mówić,vp-m-mowic-tell-content-15073cbb8666,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,lexical-frame,active-production,A2,B1,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,"CORRECT - optional Dative, required Accusative; B3B correction intact",ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope; B3B directive outstanding,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-013,The Phase 4F-B3B directive that examples show the recipient both present and omitted is still outstanding; this row has no canonical example.,,"The Phase 4F-B3B directive that examples show the recipient both present and omitted is still outstanding; this row has no canonical example. Nonblocking because: The optional-Dative correction is itself coherent and complete: complements[0].required is false, complements[1] stays true, and learnerExplanationEn states the omission explicitly ('the person can be left out: mowie prawde')."
P7-NR-030,vp-l-mowic-5f4740bd3f57,mówić,vp-m-mowic-tell-content-15073cbb8666,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,lexical-frame,active-production,A2,B1,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,"CORRECT - optional Dative, required ze-clause; B3B correction intact",ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope; B3B directive outstanding,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-014,The Phase 4F-B3B directive that examples show the recipient both present and omitted is still outstanding; this row has no canonical example.,,"The Phase 4F-B3B directive that examples show the recipient both present and omitted is still outstanding; this row has no canonical example. Nonblocking because: The optional-Dative correction is coherent: the clause complement stays required:true and learnerExplanationEn carries the optionality ('the person, if named, is Dative')."
P7-NR-031,vp-l-pytac-0410b0f88718,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,lexical-frame,active-production,A2,A2,vp-e-pytac-ask-for-information-o-accusative-topic-asking-about-the-price-662fceb895d3,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - editorial-generated, nonhuman generatorRef; subframe support is single-collocation",P7-D1-015,"Reference support is subframe and, as the canonical evidence note itself records, rests on a single collocation rather than a whole collocation class.",,"Reference support is subframe and, as the canonical evidence note itself records, rests on a single collocation rather than a whole collocation class. Nonblocking because: The limitation is already recorded truthfully in canonical evidence and in the reference-verification event; the authored construction is a selective learner pattern, which the locked specification permits, and the example realises it cleanly."
P7-NR-032,vp-l-pytac-0410b0f88718,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,lexical-frame,active-production,A2,B1,vp-e-pytac-ask-for-information-accusative-person-o-accusative-topic-asking-a-friend-about-a-restaurant-4e51f8927a78,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-033,vp-l-widziec-59dbe12f8b3d,widzieć,vp-m-widziec-perceive-visually-65710cb07f86,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,lexical-frame,active-production,A1,A1,vp-e-widziec-perceive-visually-accusative-object-saw-your-sister-ec51af47f224,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - te czerwona torbe carries overt Accusative on adjective and noun; durable key no longer descriptive,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",P7-D1-016,Durable key 'saw-your-sister' and the ID minted from it no longer describe the sentence (now 'Czy widzisz te czerwona torbe?').,,"Durable key 'saw-your-sister' and the ID minted from it no longer describe the sentence (now 'Czy widzisz te czerwona torbe?'). Nonblocking because: Explicitly adjudicated in Phase 4F-C2C: wording is not the durable identity key, the origin object is byte-identical and re-minting would churn a deterministic ID for an identity-preserving wording change."
P7-NR-034,vp-l-miec-3d78141ba164,mieć,vp-m-miec-possess-1ba1201b22bf,vp-p-miec-possess-accusative-object-7181f802bd57,lexical-frame,active-production,A1,A1,vp-e-miec-possess-accusative-object-two-cats-and-a-dog-2ce2746c0cfc,repository-reuse:card:a1-first-verbs-002.ex,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-035,vp-l-myslec-8be636ebca9e,myśleć,vp-m-myslec-think-about-fa2e0ab5d95a,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,lexical-frame,active-production,A2,A2,vp-e-myslec-think-about-o-locative-topic-thinking-about-the-exam-10ede796a5be,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-036,vp-l-znalezc-eec53e19f1a0,znaleźć,vp-m-znalezc-find-8a0f0f34b6e8,vp-p-znalezc-find-accusative-object-d80c52211462,lexical-frame,active-production,A2,B1,vp-e-znalezc-find-accusative-object-finally-found-a-flat-3609f7a71e3f,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,"CORRECT BUT DECOUPLED - names mieszkanie, the object of the replaced example; distractor homographic with Accusative plural",CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,"CLEAN - origin truthful, nonhuman attribution only",P7-D1-017,"The errorNote still names 'mieszkanie', the object of the example Phase 4F-C1C replaced ('W koncu udalo mi sie znalezc mieszkanie' -> 'W koncu znalazlam nowa prace'). The distractor string 'znalezc mieszkania' is additionally homographic with a grammatical Accusative plural ('to find flats').",,"The errorNote still names 'mieszkanie', the object of the example Phase 4F-C1C replaced ('W koncu udalo mi sie znalezc mieszkanie' -> 'W koncu znalazlam nowa prace'). The distractor string 'znalezc mieszkania' is additionally homographic with a grammatical Accusative plural ('to find flats'). Nonblocking because: The errorNote is a correct, self-contained illustration that neither quotes nor contradicts the example, and its guidance immediately disambiguates with the singular 'znalezc mieszkanie'. The same errorNote/example noun decoupling was explicitly accepted as a non-defect trade in Phase 4F-C2C for P7-NR-043."
P7-NR-037,vp-l-podobac-sie-26084690c7ca,podobać się,vp-m-podobac-sie-appeal-to-a74665181e3f,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,subject-experiencer,active-production,A2,A2,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope; B3B directive outstanding,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,COHERENT - active-production A2 fits the pattern; B3B example directive outstanding,SINGLE-PATTERN LEMMA - no sibling constraint,NOT APPLICABLE - no canonical example,P7-D1-018,The Phase 4F-B3B directive to author a contrastive example pairing podobac sie with lubic is still outstanding; this row is now active-production A2 with no canonical example.,,"The Phase 4F-B3B directive to author a contrastive example pairing podobac sie with lubic is still outstanding; this row is now active-production A2 with no canonical example. Nonblocking because: The promotion is coherent on its own terms: cefr.production A2 matches recognition A2, the subject-experiencer relation type and reversed Nominative/Dative mapping are stated in learnerExplanationEn and the errorNote, and activityEligibility is empty so nothing is generated from the row."
P7-NR-038,vp-l-ufac-6a061471e40a,ufać,vp-m-ufac-trust-92b1bdb490f0,vp-p-ufac-trust-dative-object-10988adac8cd,lexical-frame,active-production,B1,B1,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",SINGLE-PATTERN LEMMA - no sibling constraint,NOT APPLICABLE - no canonical example,,,,
P7-NR-039,vp-l-wierzyc-171eb7790262,wierzyć,vp-m-wierzyc-have-trust-0a6cbf4eee17,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,lexical-frame,active-production,A2,B1,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - broad trust meaning retained by decision; both frames under one source sense,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",DISTINGUISHABLE - explanations separate Dative 'believe a person' from w + Accusative 'confidence in',NOT APPLICABLE - no canonical example,P7-D1-019,One broad 'have-trust' meaning carries both the Dative and the w + Accusative frame.,,"One broad 'have-trust' meaning carries both the Dative and the w + Accusative frame. Nonblocking because: Decided in Phase 4F-B3A and retained: the cited WSJP sense lists both frames under one numbered sense, the two patterns state the contrast explicitly, and splitting would move the pilot to 35 meanings and reopen meaning-level reference support that Phase 4F-A closed."
P7-NR-040,vp-l-wierzyc-171eb7790262,wierzyć,vp-m-wierzyc-have-trust-0a6cbf4eee17,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,lexical-frame,active-production,B1,B1,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - broad trust meaning retained by decision,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope; B3B directive outstanding,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,COHERENT - active-production B1 removes the asymmetry with sibling 039,"COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-020,The Phase 4F-B3B directive to author a contrastive example pairing 'wierze ci' with 'wierze w ciebie' is still outstanding; this row is now active-production B1 with no canonical example.,,The Phase 4F-B3B directive to author a contrastive example pairing 'wierze ci' with 'wierze w ciebie' is still outstanding; this row is now active-production B1 with no canonical example. Nonblocking because: The promotion is coherent and removes the pre-existing asymmetry with the already active-production Dative sibling P7-NR-039; the broad parent meaning was kept verbatim and no evidence moved.
P7-NR-041,vp-l-zajmowac-sie-176f8a1300f8,zajmować się,vp-m-zajmowac-sie-occupation-activity-7e3a8332a3bc,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,lexical-frame,active-production,A2,B1,,,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,,,,
P7-NR-042,vp-l-zajmowac-sie-176f8a1300f8,zajmować się,vp-m-zajmowac-sie-look-after-person-b23fbb8fc99b,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,lexical-frame,recognition-only,B1,,vp-e-zajmowac-sie-look-after-person-instrumental-object-looking-after-my-sisters-daughter-1976cdf5b971,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,COHERENT - recognition-only follows the primary/secondary-sense principle,DISTINGUISHED BY STATUS - near-identical English glosses against 043,"CLEAN - origin truthful, nonhuman attribution only",P7-D1-021,"recognition-only here against active-production on opiekowac sie (P7-NR-043) while both English glosses read 'look after', so the distinction rests on teachingStatus rather than on any learner-facing text.",,"recognition-only here against active-production on opiekowac sie (P7-NR-043) while both English glosses read 'look after', so the distinction rests on teachingStatus rather than on any learner-facing text. Nonblocking because: Adjudicated in Phase 4F-B3A: the corpus consistently produces the primary or dedicated sense and recognises the secondary sense of a polysemous verb (cf. 004/005, 023/024). contentRef.kind is a closed enum, so a pattern cannot reference a sibling pattern to carry the contrast."
P7-NR-043,vp-l-opiekowac-sie-3a290ee21577,opiekować się,vp-m-opiekowac-sie-care-for-278e820d8562,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,lexical-frame,active-production,B1,B1,vp-e-opiekowac-sie-care-for-instrumental-object-caring-for-a-sick-grandmother-5d1ea100cdfa,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,CORRECT - predicted error is a real learner mistake and the guidance matches the pattern,CORRECT - mlodsza siostra shows Instrumental -a on adjective and noun; C2C collision repair sound,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree",DISTINCT FROM 042 - complement differs; teaching-status split not reopened,"CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-044,vp-l-zalezec-679daa27f9be,zależeć,vp-m-zalezec-depend-on-d640b1729639,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,lexical-frame,active-production,B1,B1,vp-e-zalezec-depend-on-od-genitive-source-plans-depend-on-the-weather-e539ac27be66,editorial-generated:priority7-example-generation:2026-08-16,ACCEPT,NONE,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - relation type and construction match the authored meaning,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,CORRECT - realises the taught construction transparently in natural Polish,ACCURATE AND NATURAL,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict","CLEAN - origin truthful, nonhuman attribution only",,,,
P7-NR-045,vp-l-zalezec-679daa27f9be,zależeć,vp-m-zalezec-matter-to-someone-e7bf97e3c145,vp-p-zalezec-matter-to-someone-dative-experiencer-na-locative-1fc4131471cc,lexical-frame,recognition-only,B1,,,,ACCEPT WITH NOTE,LOW,YES,COHERENT - authored meaning matches the cited sense and the pattern sits inside it,CORRECT - lexical-frame on a subjectless construction is a model boundary,CORRECT - governed case/preposition and required/optional flags match the evidence,ACCURATE - names the exact case/preposition and the participants concisely,NONE PRESENT,ABSENT - outside the locked 13-row example scope,NOT APPLICABLE - no canonical example,PLAUSIBLE - recognition/production bands fit the construction,"COHERENT - teachingStatus, CEFR and empty activityEligibility agree","COHERENT - distinguishable from siblings, explanations do not contradict",NOT APPLICABLE - no canonical example,P7-D1-022,"A genuinely subjectless impersonal construction is typed lexical-frame, and its subjectlessness is carried by learnerExplanationEn prose alone.",,"A genuinely subjectless impersonal construction is typed lexical-frame, and its subjectlessness is carried by learnerExplanationEn prose alone. Nonblocking because: subject-experiencer requires both a subject and an experiencer role and this construction has no subject slot, so the typing is a model boundary rather than an authoring inconsistency; there is no canonical change available."
