qaOrder,lemma,patternId,exampleId,pl,normalized,hash,file,fileSize,technicalStatus,humanQaStatus,humanQaNote,exact_polish
82,obejrzeć,vp-p-obejrzec-completed-viewing-accusative-content-aeda23b2f63c,vp-e-obejrzec-completed-viewing-accusative-content-primary-290834eba017,Obejrzałem ten film.,Obejrzałem ten film.,f1edc140dd9c,audio/f1edc140dd9c.mp3,13824,PASS,PENDING,,Obejrzałem ten film.
83,odpowiadać,vp-p-odpowiadac-answering-by-speech-direct-speech-983e867c49bb,vp-e-odpowiadac-answering-by-speech-direct-speech-primary-bac441c003d5,Odpowiadam: „Nie wiem”.,Odpowiadam: „Nie wiem”.,0329b14c8894,audio/0329b14c8894.mp3,16848,PASS,PENDING,,Odpowiadam: „Nie wiem”.
84,odpowiadać,vp-p-odpowiadac-answering-by-speech-na-accusative-question-7c5c3cafb0df,vp-e-odpowiadac-answering-by-speech-na-accusative-question-primary-7d9888b56055,Odpowiadam na pytanie.,Odpowiadam na pytanie.,b5079f0a3540,audio/b5079f0a3540.mp3,14112,PASS,PENDING,,Odpowiadam na pytanie.
85,odpowiadać,vp-p-odpowiadac-answering-by-speech-ze-content-clause-e379b52ec7f5,vp-e-odpowiadac-answering-by-speech-ze-content-clause-primary-2e9d2ced76a3,"Odpowiadam, że nie wiem.","Odpowiadam, że nie wiem.",a592f1bcbc07,audio/a592f1bcbc07.mp3,16128,PASS,PENDING,,"Odpowiadam, że nie wiem."
86,oglądać,vp-p-ogladac-processual-viewing-accusative-content-optional-presentation-context-b1b025b7aab4,vp-e-ogladac-processual-viewing-accusative-content-optional-presentation-context-primary-5c7f69c542b6,Oglądam ją w nowym serialu.,Oglądam ją w nowym serialu.,e449d196a5f1,audio/e449d196a5f1.mp3,16848,PASS,PENDING,,Oglądam ją w nowym serialu.
87,pamiętać,vp-p-pamietac-obligation-reminder-infinitive-obligation-5f801f7d689b,vp-e-pamietac-obligation-reminder-infinitive-obligation-primary-312febbd1f77,Pamiętaj zamknąć drzwi.,Pamiętaj zamknąć drzwi.,89c3a5bcaa7a,audio/89c3a5bcaa7a.mp3,15552,PASS,PENDING,,Pamiętaj zamknąć drzwi.
88,pamiętać,vp-p-pamietac-obligation-reminder-zeby-clause-obligation-3a6fe1894b6b,vp-e-pamietac-obligation-reminder-zeby-clause-obligation-primary-0f0f35e05a41,"Pamiętaj, żeby dzieci umyły ręce.","Pamiętaj, żeby dzieci umyły ręce.",97da6778ed1f,audio/97da6778ed1f.mp3,20016,PASS,PENDING,,"Pamiętaj, żeby dzieci umyły ręce."
89,pamiętać,vp-p-pamietac-recall-retain-accusative-recollection-7589097dce44,vp-e-pamietac-recall-retain-accusative-recollection-primary-e98a89c2b5bc,Pamiętam ten dzień.,Pamiętam ten dzień.,a66c456c5cb7,audio/a66c456c5cb7.mp3,13248,PASS,PENDING,,Pamiętam ten dzień.
90,pamiętać,vp-p-pamietac-recall-retain-o-locative-topic-b01e6e976801,vp-e-pamietac-recall-retain-o-locative-topic-primary-3b40fd027b4b,Pamiętam o twoich urodzinach.,Pamiętam o twoich urodzinach.,a4beac0bf3f3,audio/a4beac0bf3f3.mp3,15984,PASS,PENDING,,Pamiętam o twoich urodzinach.
91,pasować,vp-p-pasowac-appearance-harmony-do-genitive-harmony-target-c78ac7cc9f17,vp-e-pasowac-appearance-harmony-do-genitive-harmony-target-primary-5fadeb720951,Ten krawat pasuje do garnituru.,Ten krawat pasuje do garnituru.,05310f290938,audio/05310f290938.mp3,17280,PASS,PENDING,,Ten krawat pasuje do garnituru.
92,pasować,vp-p-pasowac-expectation-suitability-dative-expectation-holder-3c924b11b623,vp-e-pasowac-expectation-suitability-dative-expectation-holder-primary-56f207f87bba,Ten termin mi nie pasuje.,Ten termin mi nie pasuje.,f8fa28beeb09,audio/f8fa28beeb09.mp3,14544,PASS,PENDING,,Ten termin mi nie pasuje.
93,pasować,vp-p-pasowac-physical-fit-do-genitive-fit-target-06f9aac3fd0e,vp-e-pasowac-physical-fit-do-genitive-fit-target-primary-1a38bef93a17,Ten klucz pasuje do zamka.,Ten klucz pasuje do zamka.,c818b94577ea,audio/c818b94577ea.mp3,15552,PASS,PENDING,,Ten klucz pasuje do zamka.
94,pasować,vp-p-pasowac-physical-fit-na-accusative-fitted-object-ec2976385322,vp-e-pasowac-physical-fit-na-accusative-fitted-object-primary-c91a795657ab,Ten pierścionek pasuje na mój palec.,Ten pierścionek pasuje na mój palec.,9273dea32b6b,audio/9273dea32b6b.mp3,17568,PASS,PENDING,,Ten pierścionek pasuje na mój palec.
95,pasować,vp-p-pasowac-typical-appropriateness-dative-evaluator-do-genitive-reference-85039b03cadc,vp-e-pasowac-typical-appropriateness-dative-evaluator-do-genitive-reference-primary-282c825897bc,Ten kolor mi do ciebie nie pasuje.,Ten kolor mi do ciebie nie pasuje.,c0c69f55ae33,audio/c0c69f55ae33.mp3,15984,PASS,PENDING,,Ten kolor mi do ciebie nie pasuje.
96,pić,vp-p-pic-liquid-consumption-accusative-drink-object-f19916c1708d,vp-e-pic-liquid-consumption-accusative-drink-object-primary-70f812c04cf1,Codziennie rano piję kawę.,Codziennie rano piję kawę.,b61cfb07d402,audio/b61cfb07d402.mp3,15264,PASS,PENDING,,Codziennie rano piję kawę.
97,pisać,vp-p-pisac-text-creation-accusative-created-text-75bc9f61f11d,vp-e-pisac-text-creation-accusative-created-text-primary-172ef282c443,Piszę powieść.,Piszę powieść.,f6a562f50ca5,audio/f6a562f50ca5.mp3,11952,PASS,PENDING,,Piszę powieść.
98,pisać,vp-p-pisac-written-correspondence-dative-accusative-content-8b0ceb7d640d,vp-e-pisac-written-correspondence-dative-accusative-content-primary-809021240c84,Piszę koledze wiadomość.,Piszę koledze wiadomość.,950806ff10e0,audio/950806ff10e0.mp3,14688,PASS,PENDING,,Piszę koledze wiadomość.
99,pisać,vp-p-pisac-written-correspondence-dative-direct-speech-27fa46b780ba,vp-e-pisac-written-correspondence-dative-direct-speech-primary-46272c978920,Piszę koledze: „Wracam jutro”.,Piszę koledze: „Wracam jutro”.,12f57a0ea9da,audio/12f57a0ea9da.mp3,18864,PASS,PENDING,,Piszę koledze: „Wracam jutro”.
100,pisać,vp-p-pisac-written-correspondence-dative-interrogative-clause-31258cccf4b1,vp-e-pisac-written-correspondence-dative-interrogative-clause-primary-056395d9082d,"Piszę koledze, o której wrócę.","Piszę koledze, o której wrócę.",df99d55c652a,audio/df99d55c652a.mp3,17280,PASS,PENDING,,"Piszę koledze, o której wrócę."
101,pisać,vp-p-pisac-written-correspondence-dative-topic-ed0d66deb8a4,vp-e-pisac-written-correspondence-dative-topic-primary-87521098289d,Piszę koledze o wakacjach.,Piszę koledze o wakacjach.,1cc037d1f0ab,audio/1cc037d1f0ab.mp3,15408,PASS,PENDING,,Piszę koledze o wakacjach.
102,pisać,vp-p-pisac-written-correspondence-dative-ze-clause-ce1bdf84fb07,vp-e-pisac-written-correspondence-dative-ze-clause-primary-4f99ba3b91b1,"Piszę koledze, że wracam jutro.","Piszę koledze, że wracam jutro.",ebc12725709a,audio/ebc12725709a.mp3,18288,PASS,PENDING,,"Piszę koledze, że wracam jutro."
103,pisać,vp-p-pisac-written-correspondence-dative-zeby-clause-4eab7f4d5b1f,vp-e-pisac-written-correspondence-dative-zeby-clause-primary-f3075cf52477,"Piszę koledze, żeby zadzwonił.","Piszę koledze, żeby zadzwonił.",c31424445e47,audio/c31424445e47.mp3,17712,PASS,PENDING,,"Piszę koledze, żeby zadzwonił."
104,pisać,vp-p-pisac-written-correspondence-do-genitive-accusative-content-a574850180cf,vp-e-pisac-written-correspondence-do-genitive-accusative-content-primary-110a471b0413,Piszę do koleżanki wiadomość.,Piszę do koleżanki wiadomość.,1c5a5becb1fd,audio/1c5a5becb1fd.mp3,15840,PASS,PENDING,,Piszę do koleżanki wiadomość.
105,pisać,vp-p-pisac-written-correspondence-do-genitive-direct-speech-df60cdb5b6fa,vp-e-pisac-written-correspondence-do-genitive-direct-speech-primary-a9b1e6da7ef8,Piszę do koleżanki: „Wracam jutro”.,Piszę do koleżanki: „Wracam jutro”.,fcb3516bffbd,audio/fcb3516bffbd.mp3,20736,PASS,PENDING,,Piszę do koleżanki: „Wracam jutro”.
106,pisać,vp-p-pisac-written-correspondence-do-genitive-interrogative-clause-03c28a885663,vp-e-pisac-written-correspondence-do-genitive-interrogative-clause-primary-ab900b83db1a,"Piszę do koleżanki, o której wrócę.","Piszę do koleżanki, o której wrócę.",dd4ee3bc610f,audio/dd4ee3bc610f.mp3,19008,PASS,PENDING,,"Piszę do koleżanki, o której wrócę."
107,pisać,vp-p-pisac-written-correspondence-do-genitive-topic-86c7f0832c48,vp-e-pisac-written-correspondence-do-genitive-topic-primary-9771afaedd6b,Piszę do koleżanki o wakacjach.,Piszę do koleżanki o wakacjach.,ef47d526ff99,audio/ef47d526ff99.mp3,16992,PASS,PENDING,,Piszę do koleżanki o wakacjach.
108,pisać,vp-p-pisac-written-correspondence-do-genitive-ze-clause-311cd2822a89,vp-e-pisac-written-correspondence-do-genitive-ze-clause-primary-e1895e6e8b31,"Piszę do koleżanki, że wracam jutro.","Piszę do koleżanki, że wracam jutro.",c31da85c044b,audio/c31da85c044b.mp3,19872,PASS,PENDING,,"Piszę do koleżanki, że wracam jutro."
109,pisać,vp-p-pisac-written-correspondence-do-genitive-zeby-clause-efabd3f8a85e,vp-e-pisac-written-correspondence-do-genitive-zeby-clause-primary-49363a232928,"Piszę do koleżanki, żeby zadzwoniła.","Piszę do koleżanki, żeby zadzwoniła.",8407402869bf,audio/8407402869bf.mp3,19728,PASS,PENDING,,"Piszę do koleżanki, żeby zadzwoniła."
110,pokazywać,vp-p-pokazywac-directing-attention-to-content-dative-recipient-accusative-thing-d13c3b1fb811,vp-e-pokazywac-directing-attention-to-content-dative-recipient-accusative-thing-primary-91dadc8c6f6f,Pokazuję dzieciom zdjęcia.,Pokazuję dzieciom zdjęcia.,da5e6a3da642,audio/da5e6a3da642.mp3,15120,PASS,PENDING,,Pokazuję dzieciom zdjęcia.
111,pokazywać,vp-p-pokazywac-directing-attention-to-content-interrogative-dependent-clause-c02dec952e2d,vp-e-pokazywac-directing-attention-to-content-interrogative-dependent-clause-primary-68d06b6d0fa9,"Pokazuję, jak to zrobić.","Pokazuję, jak to zrobić.",bd6763a597bb,audio/bd6763a597bb.mp3,16992,PASS,PENDING,,"Pokazuję, jak to zrobić."
112,pokazywać,vp-p-pokazywac-directing-attention-to-content-na-accusative-pointing-b648b5126e93,vp-e-pokazywac-directing-attention-to-content-na-accusative-pointing-primary-62bcb86083a7,Pokazuję na mapę.,Pokazuję na mapę.,e031006c7031,audio/e031006c7031.mp3,13248,PASS,PENDING,,Pokazuję na mapę.
113,polecać,vp-p-polecac-directive-instruction-dative-accusative-action-noun-b26c52cb93a2,vp-e-polecac-directive-instruction-dative-accusative-action-noun-primary-05a7080465e5,Trener poleca zawodnikom rozgrzewkę.,Trener poleca zawodnikom rozgrzewkę.,3de1b3160f9a,audio/3de1b3160f9a.mp3,18144,PASS,PENDING,,Trener poleca zawodnikom rozgrzewkę.
114,polecać,vp-p-polecac-directive-instruction-dative-direct-speech-instruction-1e7162e9bc84,vp-e-polecac-directive-instruction-dative-direct-speech-instruction-primary-e4c31c3adf60,Kierownik poleca mi: „Zamknij drzwi”.,Kierownik poleca mi: „Zamknij drzwi”.,0b0ae5676611,audio/0b0ae5676611.mp3,20736,PASS,PENDING,,Kierownik poleca mi: „Zamknij drzwi”.
115,polecać,vp-p-polecac-directive-instruction-dative-infinitive-instruction-994672d7e218,vp-e-polecac-directive-instruction-dative-infinitive-instruction-primary-413ca9a84797,Lekarz poleca mi odpoczywać.,Lekarz poleca mi odpoczywać.,d6243757c891,audio/d6243757c891.mp3,16128,PASS,PENDING,,Lekarz poleca mi odpoczywać.
116,polecać,vp-p-polecac-directive-instruction-dative-zeby-instruction-fc19b3accb72,vp-e-polecac-directive-instruction-dative-zeby-instruction-primary-55556a255ffa,"Szef poleca mi, żebym przygotował raport.","Szef poleca mi, żebym przygotował raport.",b0b8e4ec9eca,audio/b0b8e4ec9eca.mp3,21600,PASS,PENDING,,"Szef poleca mi, żebym przygotował raport."
117,polecać,vp-p-polecac-recommendation-dative-accusative-recommended-item-1ebbe4547419,vp-e-polecac-recommendation-dative-accusative-recommended-item-primary-1818efac8761,Polecam ci tę restaurację.,Polecam ci tę restaurację.,557c6d2de4c5,audio/557c6d2de4c5.mp3,15696,PASS,PENDING,,Polecam ci tę restaurację.
118,powiedzieć,vp-p-powiedziec-spoken-communication-dative-accusative-content-551d5a034af3,vp-e-powiedziec-spoken-communication-dative-accusative-content-primary-22cda2e04dda,Powiedziałem koledze prawdę.,Powiedziałem koledze prawdę.,882b445a558e,audio/882b445a558e.mp3,15264,PASS,PENDING,,Powiedziałem koledze prawdę.
119,powiedzieć,vp-p-powiedziec-spoken-communication-dative-interrogative-clause-99d0f0765dda,vp-e-powiedziec-spoken-communication-dative-interrogative-clause-primary-2ceb3f0989c9,"Powiedziałem koledze, o której wracam.","Powiedziałem koledze, o której wracam.",945a8bd7c9fc,audio/945a8bd7c9fc.mp3,19440,PASS,PENDING,,"Powiedziałem koledze, o której wracam."
120,powiedzieć,vp-p-powiedziec-spoken-communication-dative-o-locative-topic-d23764f9dea9,vp-e-powiedziec-spoken-communication-dative-o-locative-topic-primary-ddd520508ca1,Powiedziałem koledze o problemie.,Powiedziałem koledze o problemie.,cdbc53deb8fa,audio/cdbc53deb8fa.mp3,16272,PASS,PENDING,,Powiedziałem koledze o problemie.
121,powiedzieć,vp-p-powiedziec-spoken-communication-dative-ze-clause-f3c675a3329f,vp-e-powiedziec-spoken-communication-dative-ze-clause-primary-59e0ff8e0eef,"Powiedziałem koledze, że wyjeżdżam.","Powiedziałem koledze, że wyjeżdżam.",3cd4175e754b,audio/3cd4175e754b.mp3,18576,PASS,PENDING,,"Powiedziałem koledze, że wyjeżdżam."
122,powiedzieć,vp-p-powiedziec-spoken-communication-dative-zeby-clause-fb5c236f72b3,vp-e-powiedziec-spoken-communication-dative-zeby-clause-primary-cd69d3e62c86,"Powiedziałem koledze, żeby poczekał.","Powiedziałem koledze, żeby poczekał.",98ee75b71dba,audio/98ee75b71dba.mp3,19008,PASS,PENDING,,"Powiedziałem koledze, żeby poczekał."
123,powiedzieć,vp-p-powiedziec-spoken-communication-direct-speech-content-2e16fee7aa2b,vp-e-powiedziec-spoken-communication-direct-speech-content-primary-6eaeaef599db,Powiedziałem: „Zaraz wracam”.,Powiedziałem: „Zaraz wracam”.,b9cdbbfa3d0b,audio/b9cdbbfa3d0b.mp3,18720,PASS,PENDING,,Powiedziałem: „Zaraz wracam”.
124,powiedzieć,vp-p-powiedziec-spoken-communication-do-genitive-accusative-content-6046b9e0da2c,vp-e-powiedziec-spoken-communication-do-genitive-accusative-content-primary-baab93f646ac,Powiedziałem do koleżanki prawdę.,Powiedziałem do koleżanki prawdę.,170c6d9660e8,audio/170c6d9660e8.mp3,16416,PASS,PENDING,,Powiedziałem do koleżanki prawdę.
125,powiedzieć,vp-p-powiedziec-spoken-communication-do-genitive-interrogative-clause-a363b3e21e3f,vp-e-powiedziec-spoken-communication-do-genitive-interrogative-clause-primary-294a3c1e5473,"Powiedziałem do koleżanki, o której wracam.","Powiedziałem do koleżanki, o której wracam.",fe82f1997fde,audio/fe82f1997fde.mp3,20880,PASS,PENDING,,"Powiedziałem do koleżanki, o której wracam."
126,powiedzieć,vp-p-powiedziec-spoken-communication-do-genitive-o-locative-topic-38205a593dc7,vp-e-powiedziec-spoken-communication-do-genitive-o-locative-topic-primary-1149bb4e3f02,Powiedziałem do koleżanki o problemie.,Powiedziałem do koleżanki o problemie.,47ee41d4d494,audio/47ee41d4d494.mp3,17856,PASS,PENDING,,Powiedziałem do koleżanki o problemie.
127,powiedzieć,vp-p-powiedziec-spoken-communication-do-genitive-ze-clause-6dc3b8d95fc9,vp-e-powiedziec-spoken-communication-do-genitive-ze-clause-primary-f2d90e65f604,"Powiedziałem do koleżanki, że wyjeżdżam.","Powiedziałem do koleżanki, że wyjeżdżam.",63f860263cf1,audio/63f860263cf1.mp3,20304,PASS,PENDING,,"Powiedziałem do koleżanki, że wyjeżdżam."
128,powiedzieć,vp-p-powiedziec-spoken-communication-do-genitive-zeby-clause-e275afbbd864,vp-e-powiedziec-spoken-communication-do-genitive-zeby-clause-primary-98b15d828f82,"Powiedziałem do koleżanki, żeby poczekała.","Powiedziałem do koleżanki, żeby poczekała.",e4f22d7fd504,audio/e4f22d7fd504.mp3,21024,PASS,PENDING,,"Powiedziałem do koleżanki, żeby poczekała."
129,pozwalać,vp-p-pozwalac-human-permission-dative-na-accusative-permission-12ebea73cce4,vp-e-pozwalac-human-permission-dative-na-accusative-permission-primary-c0e1760a202b,Mama pozwala mi na wyjście.,Mama pozwala mi na wyjście.,22fa473ca991,audio/22fa473ca991.mp3,15552,PASS,PENDING,,Mama pozwala mi na wyjście.
130,pozwalać,vp-p-pozwalac-human-permission-dative-zeby-permission-bbb09d3ce8c4,vp-e-pozwalac-human-permission-dative-zeby-permission-primary-6a73d89d1fc3,"Mama pozwala, żeby dzieci oglądały bajki.","Mama pozwala, żeby dzieci oglądały bajki.",3231ac5d48e7,audio/3231ac5d48e7.mp3,21888,PASS,PENDING,,"Mama pozwala, żeby dzieci oglądały bajki."
131,pozwalać,vp-p-pozwalac-human-permission-infinitive-36dc0c1b07e7,vp-e-pozwalac-human-permission-infinitive-primary-1b912d5c8b71,Pozwalam pracować z domu.,Pozwalam pracować z domu.,973f48ae586e,audio/973f48ae586e.mp3,15408,PASS,PENDING,,Pozwalam pracować z domu.
132,pozwalać,vp-p-pozwalac-inanimate-enabling-infinitive-e296a1415c54,vp-e-pozwalac-inanimate-enabling-infinitive-primary-4c2647bace2f,Internet pozwala pracować zdalnie.,Internet pozwala pracować zdalnie.,55a70e3d584d,audio/55a70e3d584d.mp3,18432,PASS,PENDING,,Internet pozwala pracować zdalnie.
133,pozwalać,vp-p-pozwalac-inanimate-enabling-na-accusative-enabling-c2b5b8ad9259,vp-e-pozwalac-inanimate-enabling-na-accusative-enabling-primary-85829b759454,Internet pozwala na szybką komunikację.,Internet pozwala na szybką komunikację.,450d11ef88ac,audio/450d11ef88ac.mp3,20160,PASS,PENDING,,Internet pozwala na szybką komunikację.
134,pozwalać,vp-p-pozwalac-inanimate-enabling-zeby-enabling-cd485a744393,vp-e-pozwalac-inanimate-enabling-zeby-enabling-primary-4497b664ff67,"Prawo pozwala, żeby firmy stosowały ulgi.","Prawo pozwala, żeby firmy stosowały ulgi.",d6ac0051c7ad,audio/d6ac0051c7ad.mp3,22320,PASS,PENDING,,"Prawo pozwala, żeby firmy stosowały ulgi."
135,pracować,vp-p-pracowac-production-creation-nad-instrumental-work-object-dd44b41d494f,vp-e-pracowac-production-creation-nad-instrumental-work-object-primary-f7ece29d07b4,Pracuję nad nowym filmem.,Pracuję nad nowym filmem.,f80cc1d805b1,audio/f80cc1d805b1.mp3,15264,PASS,PENDING,,Pracuję nad nowym filmem.
136,próbować,vp-p-probowac-attempt-action-result-genitive-action-noun-b199e45bd1c6,vp-e-probowac-attempt-action-result-genitive-action-noun-primary-9e0cd1d8e9b4,Próbuję szczęścia.,Próbuję szczęścia.,3eeb11c7ee17,audio/3eeb11c7ee17.mp3,13392,PASS,PENDING,,Próbuję szczęścia.
137,próbować,vp-p-probowac-attempt-action-result-infinitive-e82853ba5807,vp-e-probowac-attempt-action-result-infinitive-primary-95f45f4b27f4,Próbuję rozwiązać problem.,Próbuję rozwiązać problem.,06be7cfeacaa,audio/06be7cfeacaa.mp3,15552,PASS,PENDING,,Próbuję rozwiązać problem.
138,próbować,vp-p-probowac-taste-sample-food-drink-genitive-sampled-object-787189e8ebdd,vp-e-probowac-taste-sample-food-drink-genitive-sampled-object-primary-929bae7d39ec,Próbuję zupy.,Próbuję zupy.,71df8517ac0b,audio/71df8517ac0b.mp3,12096,PASS,PENDING,,Próbuję zupy.
139,przepraszać,vp-p-przepraszac-apology-accusative-person-za-accusative-offence-993ec4a94244,vp-e-przepraszac-apology-accusative-person-za-accusative-offence-primary-603de0864cdd,Marek przeprasza nauczyciela za spóźnienie.,Marek przeprasza nauczyciela za spóźnienie.,109f21264b0a,audio/109f21264b0a.mp3,19152,PASS,PENDING,,Marek przeprasza nauczyciela za spóźnienie.
140,przepraszać,vp-p-przepraszac-apology-accusative-person-ze-explanation-54604e55584a,vp-e-przepraszac-apology-accusative-person-ze-explanation-primary-23fabfc65899,"Przepraszam cię, że nie zadzwoniłem wczoraj.","Przepraszam cię, że nie zadzwoniłem wczoraj.",f0239657daca,audio/f0239657daca.mp3,20592,PASS,PENDING,,"Przepraszam cię, że nie zadzwoniłem wczoraj."
141,przyjechać,vp-p-przyjechac-transport-destination-arrival-do-genitive-destination-f7fdfcbd8c56,vp-e-przyjechac-transport-destination-arrival-do-genitive-destination-primary-62426ac07ced,Przyjadę do Warszawy.,Przyjadę do Warszawy.,07411741db8d,audio/07411741db8d.mp3,13536,PASS,PENDING,,Przyjadę do Warszawy.
142,przyjechać,vp-p-przyjechac-transport-destination-arrival-na-accusative-destination-314ccf4773ac,vp-e-przyjechac-transport-destination-arrival-na-accusative-destination-primary-7e56e9f3e9c7,Przyjadę na dworzec.,Przyjadę na dworzec.,8e3d82dc0e1c,audio/8e3d82dc0e1c.mp3,13248,PASS,PENDING,,Przyjadę na dworzec.
143,przyjść,vp-p-przyjsc-literal-place-arrival-do-genitive-place-destination-a385e14aeb54,vp-e-przyjsc-literal-place-arrival-do-genitive-place-destination-primary-8f9efaf0a7e6,Przyszliśmy do muzeum.,Przyszliśmy do muzeum.,ee3a63f0de94,audio/ee3a63f0de94.mp3,13968,PASS,PENDING,,Przyszliśmy do muzeum.
144,przyjść,vp-p-przyjsc-one-off-activity-arrival-infinitive-purpose-fa439c6178b4,vp-e-przyjsc-one-off-activity-arrival-infinitive-purpose-primary-50084dfb393e,Przyszedłem odebrać dokument.,Przyszedłem odebrać dokument.,444f91d3189f,audio/444f91d3189f.mp3,15984,PASS,PENDING,,Przyszedłem odebrać dokument.
145,przyjść,vp-p-przyjsc-one-off-activity-arrival-na-accusative-event-destination-852d8436db4e,vp-e-przyjsc-one-off-activity-arrival-na-accusative-event-destination-primary-412bda4e76d1,Przyszliśmy na koncert.,Przyszliśmy na koncert.,d539d96bfa4c,audio/d539d96bfa4c.mp3,14256,PASS,PENDING,,Przyszliśmy na koncert.
146,przynosić,vp-p-przynosic-physical-carrying-accusative-object-c69104ff7692,vp-e-przynosic-physical-carrying-accusative-object-primary-cf14a29412ef,Przynoszę kawę.,Przynoszę kawę.,245595f72457,audio/245595f72457.mp3,12384,PASS,PENDING,,Przynoszę kawę.
147,radzić,vp-p-radzic-giving-advice-dative-accusative-advice-item-a45f939c042b,vp-e-radzic-giving-advice-dative-accusative-advice-item-primary-0e5f8ece6412,Radzę ci ostrożność.,Radzę ci ostrożność.,4c9d2959e7e2,audio/4c9d2959e7e2.mp3,14400,PASS,PENDING,,Radzę ci ostrożność.
148,radzić,vp-p-radzic-giving-advice-dative-direct-speech-advice-4f0dfc1fde60,vp-e-radzic-giving-advice-dative-direct-speech-advice-primary-1d9b99968027,Radzę ci: „Odpocznij trochę”.,Radzę ci: „Odpocznij trochę”.,5cd4f719a9be,audio/5cd4f719a9be.mp3,18864,PASS,PENDING,,Radzę ci: „Odpocznij trochę”.
149,radzić,vp-p-radzic-giving-advice-dative-infinitive-advice-b8ce7379c49d,vp-e-radzic-giving-advice-dative-infinitive-advice-primary-e62bc81da629,Radzę ci zjeść coś przed wyjściem.,Radzę ci zjeść coś przed wyjściem.,61cdef3a1bd0,audio/61cdef3a1bd0.mp3,17856,PASS,PENDING,,Radzę ci zjeść coś przed wyjściem.
150,radzić,vp-p-radzic-giving-advice-dative-interrogative-advice-8aa86a51bddb,vp-e-radzic-giving-advice-dative-interrogative-advice-primary-45ae4c1cac3d,"Radzę ci, jak rozwiązać ten problem.","Radzę ci, jak rozwiązać ten problem.",edc07b91c6c7,audio/edc07b91c6c7.mp3,20448,PASS,PENDING,,"Radzę ci, jak rozwiązać ten problem."
151,radzić,vp-p-radzic-giving-advice-dative-zeby-advice-559185af24a9,vp-e-radzic-giving-advice-dative-zeby-advice-primary-8773ea816037,"Radzę ci, żebyś odpoczął.","Radzę ci, żebyś odpoczął.",efa58ee5bf2f,audio/efa58ee5bf2f.mp3,17280,PASS,PENDING,,"Radzę ci, żebyś odpoczął."
152,radzić sobie,vp-p-radzic-sobie-coping-with-difficulty-z-instrumental-topic-399d629371c1,vp-e-radzic-sobie-coping-with-difficulty-z-instrumental-topic-primary-f267146aa8b2,Radzę sobie z trudnościami.,Radzę sobie z trudnościami.,fb66ed06d341,audio/fb66ed06d341.mp3,15408,PASS,PENDING,,Radzę sobie z trudnościami.
153,rezerwować,vp-p-rezerwowac-booking-reservation-accusative-item-dative-beneficiary-79c23e521540,vp-e-rezerwowac-booking-reservation-accusative-item-dative-beneficiary-primary-e4f9af805a7c,Rezerwuję stolik znajomym.,Rezerwuję stolik znajomym.,9a50c4eb993b,audio/9a50c4eb993b.mp3,16128,PASS,PENDING,,Rezerwuję stolik znajomym.
154,rezerwować,vp-p-rezerwowac-booking-reservation-accusative-item-dla-genitive-beneficiary-92b92523b0c2,vp-e-rezerwowac-booking-reservation-accusative-item-dla-genitive-beneficiary-primary-141ecfd48365,Rezerwuję pokój dla rodziców.,Rezerwuję pokój dla rodziców.,98e34a63cb74,audio/98e34a63cb74.mp3,16416,PASS,PENDING,,Rezerwuję pokój dla rodziców.
155,robić,vp-p-robic-activity-performance-accusative-activity-noun-925def490e27,vp-e-robic-activity-performance-accusative-activity-noun-primary-f1ced5130f6f,Robię pranie.,Robię pranie.,bb99d3840476,audio/bb99d3840476.mp3,11808,PASS,PENDING,,Robię pranie.
156,robić,vp-p-robic-entity-creation-accusative-created-entity-a0bc402f1a69,vp-e-robic-entity-creation-accusative-created-entity-primary-63a023cef4a4,Robię ciasto.,Robię ciasto.,628698103ce3,audio/628698103ce3.mp3,12096,PASS,PENDING,,Robię ciasto.
157,rozumieć,vp-p-rozumiec-content-comprehension-accusative-content-99691eab5f8a,vp-e-rozumiec-content-comprehension-accusative-content-primary-7ce45e1cce5d,Rozumiem żart.,Rozumiem żart.,245040f37e3a,audio/245040f37e3a.mp3,12528,PASS,PENDING,,Rozumiem żart.
158,rozumieć,vp-p-rozumiec-content-comprehension-interrogative-content-clause-29c6ee110263,vp-e-rozumiec-content-comprehension-interrogative-content-clause-primary-09c07e4dfbb4,"Rozumiem, dlaczego się spóźniłeś.","Rozumiem, dlaczego się spóźniłeś.",91f8bb56b05e,audio/91f8bb56b05e.mp3,18864,PASS,PENDING,,"Rozumiem, dlaczego się spóźniłeś."
159,rozumieć,vp-p-rozumiec-content-comprehension-ze-content-clause-54edc78a6928,vp-e-rozumiec-content-comprehension-ze-content-clause-primary-ad98269a786d,"Rozumiem, że jesteś zmęczony.","Rozumiem, że jesteś zmęczony.",79df34439500,audio/79df34439500.mp3,18288,PASS,PENDING,,"Rozumiem, że jesteś zmęczony."
160,rozumieć,vp-p-rozumiec-empathic-person-understanding-accusative-person-cf49fb1a3945,vp-e-rozumiec-empathic-person-understanding-accusative-person-primary-03cd47952436,Rozumiem cię jak nikt inny.,Rozumiem cię jak nikt inny.,d914dba6b71d,audio/d914dba6b71d.mp3,15408,PASS,PENDING,,Rozumiem cię jak nikt inny.
