reviewId,lemma,meaningId,patternId,pattern,relationType,cefrRecognition,cefrProduction,teachingStatus,supportClass,b1Verdict,b1Severity,b1FindingRefs,b1Rationale,b1ProposedChange,b2Verdict,b2Severity,b2FindingId,b2Rationale,b2ProposedChange,agreementClass,treatmentDivergence,b3aDisposition,b3aSeverity,b3aPrimaryCategory,b3aSecondaryCategories,b3aRationale,b3aProposedChange,noteDisposition,deferReopenCriteria,ownerPhase
P7-NR-027,lubić,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,vp-p-lubic-enjoy-thing-or-activity-accusative-object-7e585a50878f,lubić + Accusative,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-18,"EXACT-FRAME, and grouping the nominal object with the infinitive under one broad enjoy meaning mirrors the source, which lists CO and BEZOKOLICZNIK in one sense whose collocations span consumables, abstracts and activity verbs. That grouping is pedagogically coherent. Excluding the separately numbered people sense costs no accuracy — the government is identical — but it does remove the lubić kogoś / podoba mi się contrast, which is the confusion learners actually have.",None to this pattern. Consider whether the excluded people sense should be authored post-pilot so the contrast with row 37 can be taught.,ACCEPT,NONE,,"A broad thing/activity teaching meaning is coherent: this nominal pattern keeps the experiencer as subject, contrasts cleanly with podobać się, and has a natural A1 example.",,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,MEANING,,"Both reviewers accept the broad enjoy meaning and so does this adjudication: the source lists CO and BEZOKOLICZNIK under one sense, and the learner meets one verb with two shapes. F-18 is kept because it is a coverage observation with a live consequence: the corpus cross-references lubic and podobac sie as contrasts, but excluding the people sense means 'lubie Anne' / 'Anna mi sie podoba' cannot be shown - and row 037 is being promoted to production by this adjudication, which raises the value of that contrast. Post-pilot coverage, not a pilot change.",,KEEP NOTE,,POST-PILOT
P7-NR-028,lubić,vp-m-lubic-enjoy-thing-or-activity-fd56f32d6d55,vp-p-lubic-enjoy-thing-or-activity-infinitive-activity-be3742b7ce45,lubić + infinitive,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-12; F-18,"EXACT-FRAME 'BEZOKOLICZNIK' under the same sense as row 27, so the one-meaning grouping holds. Level-matched A1 example. Its A1/A1 placement is what makes row 9's A2/B1 placement of the same complement type look unreconciled.",Reconcile the infinitive-complement placement with row 9.,ACCEPT,NONE,,The activity realization belongs with the nominal liking meaning pedagogically; the infinitive label and reading example make the alternation immediately usable at A1.,,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,CEFR,MEANING,"Grouping holds under the same sense as row 027. F-12 is resolved at row 009: the A1/A1 placement here is right for a fixed high-frequency formula and the A2/B1 placement there is justified by the governing verb, not by the complement type. No change on either row; the note records the justification. F-18 shared with row 027.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-029,mówić,vp-m-mowic-tell-content-15073cbb8666,vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960,mówić + Dative + Accusative,lexical-frame,A2,B1,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-02,"The frame is licensed, but the cited schema is '(KOMU) + CO' — the Dative is parenthesised, i.e. omissible — and this pattern marks it required. Both mówić patterns do. The corpus therefore has no way to represent 'Mówię prawdę', and every mówić construction a learner can meet forces a recipient that the source treats as optional. This is the mirror image of the subframe question: elsewhere the pilot teaches the short frame, here it teaches only the long one.","Either mark the Dative recipient optional, or author a recipient-less mówić pattern. Requires a canonical change; do not resolve inside B1.",CHANGES NEEDED,MEDIUM,P7-B2-002,"The full komuś coś frame is useful, but the inventory lacks the equally basic recipient-omitted mówić coś construction; presenting only a required Dative full frame risks implying that an addressee must be expressed.","Retain this full frame and add a shorter mówić + Accusative learner pattern, or explicitly model recipient optionality without weakening the full-frame contrast. Add a canonical example in 4F-C.",EXACT AGREEMENT,NO,CHANGE BEFORE EDITORIAL ACCEPTANCE,MEDIUM,OPTIONALITY,LABEL_OR_NOTE,"Consensus row, and the shared diagnosis survives verification: the cited Skladnia is '(KOMU) + CO' with the Dative parenthesised, yet the complement is marked required, so the corpus cannot express 'Mowie prawde'. Both reviewers offer the same two remedies. The smallest safe one is flipping the flag, not authoring new patterns: a new pattern would add a 46th row after 4F-A closed reference verification at 45 and would need its own evidence and verification event, whereas required:false simply makes the data agree with evidence already verified. One correction to both reviewers: the flag alone is invisible. Every one of the corpus's 54 complements is required:true, and pp-verb-patterns.js type-checks the boolean but never reads it - no renderer filters or branches on it. So the flag change must be paired with the one field that does reach the learner, or the model will still teach that the recipient is obligatory.","In pattern vp-p-mowic-tell-content-dative-recipient-accusative-content-2f2b1add1960: (a) change complements[0].required (the Dative recipient) from true to false, leaving complements[1] (Accusative content) required:true; (b) change learnerExplanationEn from 'Two roles: the person told is Dative, the thing told is Accusative.' to 'The thing told is Accusative and the person told is Dative; the person can be left out: mowie prawde.' Do not add a new pattern. Do not change cefr, teachingStatus, relationType or evidence. B3B must recompute the pattern's reviewEvent scopeDigest, since complements are in scope.",SUPERSEDED BY CHANGE,,4F-B3B
P7-NR-030,mówić,vp-m-mowic-tell-content-15073cbb8666,vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736,mówić + Dative + ze-clause,lexical-frame,A2,B1,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-02,"Same defect as row 29 and slightly sharper: '(KOMU) + że ZDANIE' is the cited schema, yet the Dative is required, so the corpus cannot express 'Mówię, że ...' — among the most frequent clause constructions a B1 learner needs. The clause-kind representation itself is correct.",As row 29. Optionality or a second pattern; a canonical change outside B1's authority.,CHANGES NEEDED,MEDIUM,P7-B2-003,"The full recipient-plus-clause frame is valid, but the common recipient-omitted mówić, że… frame is absent and the learner-facing ze-clause label loses Polish ż, reducing clarity.","Retain the full frame, add a shorter mówić + że-clause pattern or model recipient optionality, and render the clause label with że. Add a canonical example in 4F-C.",EXACT AGREEMENT,YES,CHANGE BEFORE EDITORIAL ACCEPTANCE,MEDIUM,OPTIONALITY,LABEL_OR_NOTE,"Same defect as row 029 and sharper: '(KOMU) + ze ZDANIE' is the cited schema, so the corpus cannot express 'Mowie, ze ...', among the most frequent clause constructions a B1 learner needs. Same smallest-safe correction. B2's additional sub-proposal - that the learner-facing ze-clause label loses the Polish diacritic - is rejected as factually wrong: CLAUSE_TOKENS in pp-verb-patterns.js already maps clauseKind 'ze' to the rendered token 'ze ...' with the diacritic, and the ASCII 'ze' is only the locked internal enum key, which cannot be changed without a schema change. B2 appears to have read the review artifact's own pattern label rather than the learner surface.","In pattern vp-p-mowic-tell-content-dative-recipient-ze-clause-a01ddc4a4736: (a) change complements[0].required (the Dative recipient) from true to false, leaving the clause complement required:true; (b) change learnerExplanationEn from 'The same meaning with clause content: the person stays Dative and ze introduces what is said.' to 'The same meaning with clause content: ze introduces what is said, and the person, if named, is Dative: mowie, ze to prawda.' Do NOT change clauseKind: the enum value 'ze' is locked and already renders as 'ze ...' with the diacritic. B3B must recompute the scopeDigest.",SUPERSEDED BY CHANGE,,4F-B3B
P7-NR-031,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-o-accusative-topic-c89674d989d8,pytać + o + Accusative,lexical-frame,A2,A2,active-production,SUBFRAME,DEFER,HIGH,F-04; F-01,"The thinnest reference support in the corpus carries its strongest teaching commitment. Support is SUBFRAME and, by the phase's own note, rests on a single collocation rather than a class; the addressee is omitted from a schema that pairs o KOGO/CO with KOGO; there is no canonical example; and the only repository attestation realises the perfective partner zapytać, not pytać. The construction itself is real everyday Polish, so this is not a correctness rejection — it is a refusal to ship the weakest-evidenced row as active-production A2 with nothing worked through.","Do not advance as authored. Either downgrade to recognition-only pending stronger support, or hold the row for 4F-C and native confirmation. Adjudicate after B2.",ACCEPT,NONE,,The short topic frame is natural and useful without an expressed addressee; the full sibling prevents participant omission from becoming a misleading statement about all uses.,Add the planned canonical example in 4F-C before learner activation.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,EXAMPLE,,"B1's DEFER - the corpus's only HIGH - is overturned; the pattern stays in the pilot as authored. Three grounds. First, two of B1's four compounding reasons are out of scope or non-distinguishing: reference validity was settled by 4F-A and this phase may not revisit it, and the missing example is shared with 21 other rows. Second, B1's own editorial test acquits this row: the test is whether the short frame is a complete idiomatic utterance in its own right, and 'Pytam o cene' is exactly that - as complete as 'Dziekuje za pomoc'. Third, the support is the same kind B1 called the model case for the subframe standard: 4F-A records pytac's support as Polaczenia, the same section that supports pomagac's bare Dative. Omitting the addressee does not create a misleading model, because the addressee is genuinely omissible in ordinary use and row 032 supplies the full frame under the same meaning. Active-production at A2 is right: asking about price, directions and times is core A2 transactional production, and downgrading to recognition-only would recreate the exact defect both reviewers flagged on row 037. The note that survives is B1's real one: the lemma has no clean repository sentence, so the example must be authored fresh.",,KEEP NOTE,,4F-C
P7-NR-032,pytać,vp-m-pytac-ask-for-information-edc2b66ff9d6,vp-p-pytac-ask-for-information-accusative-person-o-accusative-topic-841b41ed735a,pytać + Accusative + o + Accusative,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,MEDIUM,F-01; F-04,"EXACT-FRAME 'KOGO + o KOGO/CO' — evidentially the stronger of the two pytać rows, and structurally the more informative one. Severity is raised above its own defects because of the interaction: if row 31 defers, this becomes the only pytać pattern in the pilot, and it has no canonical example and no reusable repository sentence (the one that exists is marked slang).","None to the frame. Prioritise its 4F-C example, since the lemma may rest on this row alone.",ACCEPT,NONE,,"The KOGO + o CO frame gives a valuable full contrast at B1, and the two Accusative roles are stated clearly enough to coexist with the shorter A2 topic pattern.",Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,EXAMPLE,,"B1's MEDIUM severity was explicitly conditional on row 031 deferring ('if row 31 defers, this becomes the only pytac pattern'). Row 031 is retained, so the premise dissolves and severity drops to LOW. The frame itself is EXACT-FRAME 'KOGO + o KOGO/CO' and both reviewers accept it. Coexistence with 031 is confirmed and is the right architecture: 031 is the A2 short frame, 032 the B1 full frame, mirroring prosic 015/016 and pomagac 002/003. The kept note is the example dependency: the only repository sentence with this verb and an o phrase is marked slang and is referenced rather than reused, so 4F-C must author fresh here too.",,KEEP NOTE,,4F-C
P7-NR-033,widzieć,vp-m-widziec-perceive-visually-65710cb07f86,vp-p-widziec-perceive-visually-accusative-object-80b697e51432,widzieć + Accusative,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME 'KOGO/CO' from the visual-perception sense, with the encounter sense explicitly not used as the source. Existing example is level-matched. Carries an authorship-blocked accepted replacement.",None in B1. The accepted replacement stays pending for 4F-C.,ACCEPT,NONE,,"The visual-perception scope excludes encounter and figurative senses, and the plain Accusative pattern is core A1 material.",Use the already accepted replacement example in 4F-C; this dependency does not alter the verdict.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"F-01 plus a tracked accepted 4C replacement, as rows 011 and 012. The visual-perception scope explicitly excludes the encounter sense and the existing example is level-matched.",,DROP NOTE,,NONE
P7-NR-034,mieć,vp-m-miec-possess-1ba1201b22bf,vp-p-miec-possess-accusative-object-7181f802bd57,mieć + Accusative,lexical-frame,A1,A1,active-production,EXACT-FRAME,ACCEPT,NONE,,"EXACT-FRAME 'CO' selected from an entry with nineteen numbered senses, with obligation, age and time expressions deliberately excluded and recorded. A1 core, level-matched example, negation contrast referenced.",,ACCEPT,NONE,,"The possession scope is appropriately narrow, the Accusative object is a core A1 relation, and the pets example is natural and sufficient.",,EXACT AGREEMENT,NO,ACCEPT AS IS,NONE,NONE,,"Exact agreement, clean. One frame selected from an entry with nineteen numbered senses, with obligation, age and time expressions deliberately excluded and recorded.",,NONE,,NONE
P7-NR-035,myśleć,vp-m-myslec-think-about-fa2e0ab5d95a,vp-p-myslec-think-about-o-locative-topic-edf0461e0dd2,myśleć + o + Locative,lexical-frame,A2,A2,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-19,"The frame is licensed and authoring only the o alternant is consistent. The problem is release readiness: this is an active-production A2 core pattern with no canonical example and, by its own evidence, no reusable source — the drill sentence sits in a field outside the locked provenance enum, and the only complete repository sentence realises the excluded opinion sense. Nothing in the repository can supply this example.",4F-C must author an example rather than reuse one. Until then active-production is not supportable.,ACCEPT,NONE,,"The topic meaning is well separated from opinion and intention, and o + Locative is a useful active A2 frame with clear learner wording.",Add the planned canonical example in 4F-C before learner activation.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,MEDIUM,EXAMPLE,,"B1's facts are right and its disposition is not. Every element of F-19 verifies: the Locative drill sentence sits in a 'full' field outside the locked repository-reuse provenance enum, and the only complete repository sentence with this lemma realises the excluded opinion sense and is typed as a contrast. But this is an example defect, not a pattern defect, and section 12 of the phase brief governs: the linguistic pattern is not downgraded for missing example work that 4F-C owns. The frame is licensed, authoring only the o alternant is consistent with the narrowing policy, and B2 reads it clean. Severity stays MEDIUM rather than LOW because, uniquely among the example-less rows, nothing in the repository can be reused: 4F-C must author from scratch.",,KEEP NOTE,,4F-C
P7-NR-036,znaleźć,vp-m-znalezc-find-8a0f0f34b6e8,vp-p-znalezc-find-accusative-object-d80c52211462,znaleźć + Accusative,lexical-frame,A2,B1,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-09,"EXACT-FRAME 'KOGO/CO' and the szukać contrast is the pattern's whole pedagogical value; the error note states it well. The canonical example undercuts it: 'W końcu udało mi się znaleźć mieszkanie' embeds the verb in an impersonal udać się construction with a Dative clitic, so the sentence a learner reads to see 'znaleźć takes the Accusative' is dominated by two harder structures the pattern does not teach.","Replace with a finite, unembedded example that isolates the Accusative object. Example wording is 4F-C's to change, not B1's.",ACCEPT WITH NOTE,LOW,P7-B2-004,"The result meaning and Accusative contrast with A1 szukać are excellent, but delaying production to B1 is conservative for a core verb already introduced and exemplified at A2.",Recheck the curriculum gate and prefer A2 production unless aspect or inflection sequencing supplies a documented reason for B1.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,MEDIUM,EXAMPLE,,"Split decision, and both halves resolve against a CHANGE. On B1's F-09: the criticism is right and understated. 'W koncu udalo mi sie znalezc mieszkanie' buries the pattern in an impersonal udac sie construction with a Dative clitic, and neither reviewer noticed that it also fails on transparency, since mieszkanie is neuter and its Accusative is identical to its Nominative - so the sentence meant to show 'znalezc takes the Accusative' shows no Accusative morphology at all. That makes replacement clearly necessary, but it is example work, which 4F-C owns; the pattern is accepted. On B2-004: dropped. B2 asked for A2 production 'unless aspect or inflection sequencing supplies a documented reason', and the record supplies exactly that - the lemma is typed aspect:perfective, so it has no present tense and production requires past or perfective-future forms plus the znalezc/znalazlem stem alternation. A2/B1 stands.",,KEEP NOTE,,4F-C
P7-NR-037,podobać się,vp-m-podobac-sie-appeal-to-a74665181e3f,vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9,podobać się + Nominative + Dative,subject-experiencer,A2,,recognition-only,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-07,"subject-experiencer is the right relation type — the specification names this record as its fixture — and putting the Nominative in the complement list is the correct call: rendering the stimulus as a slot beside the Dative is what makes the reversed mapping visible, and the runtime already overrides its phrasing to 'the thing that appeals'. Teaching status is the defect. Recognition-only at A2 while its explicit contrast partner lubić is active-production at A1 means the learner can produce one half of a two-way contrast and only recognise the other. 'Podoba mi się' is core A1-A2 production Polish. The clitic cluster is a real reason for caution, but not for silence.","Reconsider active-production, at least for the fixed 'podoba mi się' frame. Also review the Dative role phrase: 'the person it happens to' is weaker than 'the person who likes it' here. No sense-2 evidence is added or implied.",CHANGES NEEDED,MEDIUM,P7-B2-005,The Nominative stimulus plus Dative experiencer and subject-experiencer relationType make the reversal from lubić unusually clear; keeping this core everyday construction recognition-only underserves the pilot.,"Keep the surfaced Nominative and role explanation, add a contrastive canonical example, and set active production at B1 after controlled A2 recognition.",EXACT AGREEMENT,YES,CHANGE BEFORE EDITORIAL ACCEPTANCE,MEDIUM,TEACHING_STATUS,CEFR,"Consensus row: both reviewers independently reject recognition-only for a core everyday construction whose explicit contrast partner lubic is produced at A1. The reviewers diverge on the level - B1 argues production at A1-A2 for the fixed frame, B2 argues B1 after controlled A2 recognition - and B1's position is better supported by B2's own stated reason. If the defect is that recognition-only 'underserves the pilot', setting production at B1 leaves podobac sie two full bands behind lubic and only half-fixes it; production at A2 matches the pattern's own recognition band, respects that the clitic cluster warrants being later than lubic, and is schema-valid (recognition A2 permits production A2 or B1). The rest of both reviews is upheld without change: subject-experiencer is the specification's named fixture, and the Nominative stays in the complement list because rendering the stimulus as a slot beside the Dative is what makes the reversed mapping visible. B1's second sub-proposal - retune the Dative role phrase - is rejected: ROLE_PHRASES.experiencer is global and locked, it is shared with row 045 where 'the person it happens to' is apt, and the only sanctioned override (SUBJECT_EXPERIENCER_SUBJECT) already applies to the Nominative. B1 itself forbids repointing a global phrase for one row.","In pattern vp-p-podobac-sie-appeal-to-nominative-stimulus-dative-experiencer-ef199e675ee9: (a) change teachingStatus from 'recognition-only' to 'active-production'; (b) add cefr.production = 'A2' (required by the schema once teachingStatus is active-production; recognition stays 'A2'). Change no complement, no role, no relationType and no learnerExplanationEn. Do not alter ROLE_PHRASES. Directive to 4F-C: author a contrastive canonical example pairing this frame with lubic. B3B must recompute the scopeDigest.",SUPERSEDED BY CHANGE,,4F-B3B
P7-NR-038,ufać,vp-m-ufac-trust-92b1bdb490f0,vp-p-ufac-trust-dative-object-10988adac8cd,ufać + Dative,lexical-frame,B1,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME 'KOMU' with the personal-subject restriction recorded. Good error note. B1 for a core verb is defensible given Dative morphology. No canonical example yet (B-14), though a supporting B1 card is referenced.",None. Example authoring in 4F-C.,ACCEPT,NONE,,"The personal trust meaning and Dative object are narrow, useful, and suitable for active B1 teaching; the wording supplies a clear short example.",Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"F-01 only. EXACT-FRAME 'KOMU' with the personal-subject restriction recorded, a good error note, and B1 placement defensible for Dative morphology. Both reviews clean.",,DROP NOTE,,NONE
P7-NR-039,wierzyć,vp-m-wierzyc-have-trust-0a6cbf4eee17,vp-p-wierzyc-have-trust-dative-object-f38bb3e72123,wierzyć + Dative,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-16; F-01,"On the grouping question: keeping the Dative and the w+Accusative frames under one broad trust meaning is ACCEPTABLE and should not be split. The source licenses both from one numbered sense, and more importantly the pair is the teaching point — splitting them into separate meanings would separate exactly the contrast a learner needs. The two explanations already state the contrast explicitly. No canonical example yet (B-15).",None. Do not split the meaning.,CHANGES NEEDED,MEDIUM,P7-B2-006,"Wierzyć komuś teaches accepting a person's words as true, while wierzyć w kogoś teaches confidence in that person; a single broad trust/faith meaning blurs a learner-critical semantic contrast even though both frames are defensible.","Give the Dative frame its own believe-someone/veracity meaning and scope, retain B1 production, and add a canonical contrastive example in 4F-C.",SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,MEANING,,"The wierzyc grouping question is decided for B1: retain one broad trust meaning. Three reasons. The source groups them - the cited sense 'miec zaufanie' lists both KOMU/CZEMU and w KOGO/CO under one numbered sense, so the grouping is not imposed on the data. The contrast B2 wants to protect is already carried where learners meet it: the two patterns state it explicitly ('To believe a person, use the Dative' / 'For confidence in a person or thing, use w + Accusative') and internalScope names both readings, whereas splitting the meaning would file the two halves apart and make the contrast less visible, not more. And the architectural cost is real: a split moves the pilot from 34 meanings to 35, requires a new meaning id and scope, and reopens meaning-level reference support that 4F-A closed. This is the dictionary-taxonomy purity the brief warns against. B2's separate point about teaching status is well taken and is actioned on row 040. Note kept so the split question is not re-litigated.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-040,wierzyć,vp-m-wierzyc-have-trust-0a6cbf4eee17,vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1,wierzyć + w + Accusative,lexical-frame,B1,,recognition-only,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-16; F-01,"EXACT-FRAME under the same trust sense, so the grouping holds. Recognition-only while its Dative sibling is active-production initially looks inconsistent, but it is defensible and appears deliberate: w + Accusative is formally identical to the separately numbered religious and ideological senses the meaning excludes, so inviting production would invite learners straight into excluded territory.",None. Record the asymmetry as deliberate rather than leaving it to look like an oversight.,CHANGES NEEDED,MEDIUM,P7-B2-007,"The w + Accusative frame expresses confidence in a person or thing rather than believing what someone says; grouping it under the Dative meaning weakens the contrast, and recognition-only is unnecessarily restrictive at B1.","Create a distinct confidence-in meaning, keep religious/existence senses explicitly out of scope, set active production at B1, and add a contrastive canonical example in 4F-C.",SUBSTANTIVE DISAGREEMENT,NO,CHANGE BEFORE EDITORIAL ACCEPTANCE,MEDIUM,TEACHING_STATUS,CEFR,"The two halves of B2's finding are taken separately on their merits, which is not splitting the difference. The meaning split is rejected at row 039. The teaching status is upheld: B2 is right that recognition-only is unnecessarily restrictive. B1's defence of the asymmetry - that w + Accusative is formally identical to the excluded religious and ideological senses, so production would invite learners into excluded territory - does not survive scrutiny, because government is invariant across those senses. A learner who produces 'wierze w Boga' produces correct Polish with correct government; the exclusion bounds the corpus's meaning inventory, not the learner's output, so the risk is scope leak and not error. Against that, 'wierze w ciebie' is high-value everyday production, and teaching only one half of an explicitly paired contrast for production is the same defect both reviewers flagged on row 037. Promoting it also removes the unexplained sibling asymmetry F-16 records.","In pattern vp-p-wierzyc-have-trust-w-accusative-target-6561408ea8d1: (a) change teachingStatus from 'recognition-only' to 'active-production'; (b) add cefr.production = 'B1' (the schema forces production B1 when recognition is B1; recognition stays 'B1'). Do NOT split the meaning, do not create a new meaning id, and leave internalScope and its religious/ideological/self-confidence exclusions verbatim. Directive to 4F-C: author a contrastive canonical example pairing wierze ci with wierze w ciebie. B3B must recompute the scopeDigest.",SUPERSEDED BY CHANGE,,4F-B3B
P7-NR-041,zajmować się,vp-m-zajmowac-sie-occupation-activity-7e3a8332a3bc,vp-p-zajmowac-sie-occupation-activity-instrumental-topic-3321df3f989e,zajmować się + Instrumental,lexical-frame,A2,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,"EXACT-FRAME 'CZYM' for the activity sense, with the caring sense correctly separated into row 42. Good error note against the *o transfer. No canonical example yet (B-17).",None. Example authoring in 4F-C.,ACCEPT,NONE,,The occupation/activity sense is distinct from caring for a person despite identical surface government; A2 recognition and B1 production are coherent.,Add the planned canonical example in 4F-C before learner activation.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,"F-01 only. The activity sense is correctly separated from the caring sense in row 042, the error note targets the *o transfer, and both reviews are otherwise clean.",,DROP NOTE,,NONE
P7-NR-042,zajmować się,vp-m-zajmowac-sie-look-after-person-b23fbb8fc99b,vp-p-zajmowac-sie-look-after-person-instrumental-object-6f93facbd939,zajmować się + Instrumental,lexical-frame,B1,,recognition-only,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-08,"The frame and the sense split are both right. The treatment is not coherent against its neighbour: this row and row 43 encode near-synonymous bare-Instrumental care constructions at the same B1 level, and this one is recognition-only while opiekować się is active-production. Nothing in either record cross-references the other, so a learner meets two ways of saying the same thing with opposite permissions and no link. Also one of the five authorship-blocked example rows.","Align the teaching status of rows 42 and 43, or record why they differ, and add a contrast contentRef between them.",ACCEPT,NONE,,The care sense deserves a separate meaning from occupation and provides a useful contrast with opiekować się; recognition-only appropriately manages polysemy in the pilot.,Use the already accepted draft example in 4F-C; this dependency does not alter the verdict.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,LOW,TEACHING_STATUS,MODEL_LIMITATION,"B2 is better supported and B1's CHANGES NEEDED is overturned. F-08 treats the recognition-only/active-production split as an unexplained inconsistency, but it follows a principle the corpus applies consistently elsewhere: the primary or dedicated sense is produced and the secondary sense of a polysemous verb is recognised. That is exactly rows 004/005 (sluchac perception produced, obey recognised) and rows 023/024 (bac sie). Here the dedicated care verb opiekowac sie is produced and the secondary care sense of a verb whose pilot-primary sense is occupation (041, active-production) is recognised - which also protects the learner from having to choose between two readings of the same surface string, 'zajmuje sie dzieckiem' against 'zajmuje sie marketingiem'. No change. B1's specific remedy is in any case not expressible: contentRef.kind is a closed enum of card/topic/drill/scenario, so a pattern cannot reference a sibling pattern. Note kept to record the principle so the asymmetry stops reading as an oversight.",,KEEP NOTE,,REGISTER-ONLY
P7-NR-043,opiekować się,vp-m-opiekowac-sie-care-for-278e820d8562,vp-p-opiekowac-sie-care-for-instrumental-object-8aa6f0a91e5b,opiekować się + Instrumental,lexical-frame,B1,B1,active-production,EXACT-FRAME,CHANGES NEEDED,MEDIUM,F-10; F-08,"EXACT-FRAME 'KIM/CZYM', clean single-frame entry, good error note. But it is authored as active-production B1 core with no canonical example and, by its own recorded evidence, no existing Po polsku card, drill, scenario or podcast line using the lemma anywhere. It is the only pattern in the corpus with no repository footing at all, and it is being taught for production.","Supply the 4F-C example before any production claim, and align with row 42 as above.",ACCEPT,NONE,,"The dedicated care verb, lexical się, and Instrumental object are clear and useful for B1 production without duplicating the recognition-only zajmować się contrast.",Add the planned canonical example in 4F-C before learner activation.,SUBSTANTIVE DISAGREEMENT,NO,ACCEPT WITH NONBLOCKING NOTE,MEDIUM,EXAMPLE,,"F-10 verifies and is the sharpest example finding in the corpus: this is the only pattern whose own evidence records that no card, drill, scenario or podcast line uses the lemma anywhere, and it is authored active-production with no canonical example. But the pattern is clean - EXACT-FRAME 'KIM/CZYM', single-frame entry, good error note - and section 12 governs: it is not downgraded for example work 4F-C owns, and it is not singled out for a gate the other fifteen example-less active-production rows do not face. The F-08 half is resolved at row 042: the status difference is principled and needs no alignment. Severity MEDIUM because the example must be authored from nothing.",,KEEP NOTE,,4F-C
P7-NR-044,zależeć,vp-m-zalezec-depend-on-d640b1729639,vp-p-zalezec-depend-on-od-genitive-source-1ad29f7a1318,zależeć + od + Genitive,lexical-frame,B1,B1,active-production,EXACT-FRAME,ACCEPT WITH NOTE,LOW,F-01,EXACT-FRAME 'od CZEGO' with the personal-dependency sense correctly held out as separately numbered. A supporting B1 card is referenced. One of the five authorship-blocked example rows (draft B-20).,None in B1. The accepted draft stays pending for 4F-C.,ACCEPT,NONE,,"The external-condition meaning is well separated from zależeć komuś na czymś, and od + Genitive is a high-value B1 production frame.",Use the already accepted draft example in 4F-C; this dependency does not alter the verdict.,COMPATIBLE DIFFERENCE,NO,ACCEPT AS IS,NONE,NONE,,F-01 plus a tracked accepted 4C draft. The external-condition meaning is correctly held apart from zalezec komus na czyms and both reviews are clean on the frame.,,DROP NOTE,,NONE
